st_case,veh_no,per_no,race,multrace
10068,2,2,Not a Fatality (not Applicable),No
10068,2,3,Not a Fatality (not Applicable),No
10069,1,1,White,No
10069,2,1,Not a Fatality (not Applicable),No
10070,0,1,White,No
10070,1,1,Not a Fatality (not Applicable),No
10071,1,1,Black or African American,No
10071,2,1,Not a Fatality (not Applicable),No
10072,1,1,Not a Fatality (not Applicable),No
10072,1,2,Not a Fatality (not Applicable),No
10072,2,1,White,No
10073,1,1,Not a Fatality (not Applicable),No
10073,2,1,White,No
10074,1,1,Not a Fatality (not Applicable),No
10074,2,1,White,No
10075,1,1,Not a Fatality (not Applicable),No
10075,1,2,White,No
10076,1,1,Black or African American,No
10076,1,2,Not a Fatality (not Applicable),No
10076,1,3,Not a Fatality (not Applicable),No
10076,2,1,Not a Fatality (not Applicable),No
10077,0,1,Black or African American,No
10077,1,1,Not a Fatality (not Applicable),No
10078,1,1,White,No
10079,1,1,White,No
10080,1,1,White,No
10080,2,1,Not a Fatality (not Applicable),No
10080,3,1,White,No
10145,2,1,Black or African American,No
10081,1,1,Not a Fatality (not Applicable),No
10081,2,1,White,No
10081,3,1,Not a Fatality (not Applicable),No
10081,3,2,Not a Fatality (not Applicable),No
10081,4,1,Not a Fatality (not Applicable),No
10081,4,2,Not a Fatality (not Applicable),No
10081,5,1,Not a Fatality (not Applicable),No
10081,5,2,Not a Fatality (not Applicable),No
10082,1,1,Not a Fatality (not Applicable),No
10082,2,1,Black or African American,No
10082,2,2,Not a Fatality (not Applicable),No
10082,3,1,Not a Fatality (not Applicable),No
10083,1,1,Not a Fatality (not Applicable),No
10083,2,1,Not a Fatality (not Applicable),No
10083,2,2,Not a Fatality (not Applicable),No
10083,2,3,Unknown,No
10084,1,1,White,No
10085,1,1,White,No
10085,2,1,Not a Fatality (not Applicable),No
10086,0,1,Black or African American,No
10086,1,1,Not a Fatality (not Applicable),No
10086,1,2,Not a Fatality (not Applicable),No
10087,0,1,White,No
10087,2,1,Not a Fatality (not Applicable),No
10088,0,1,White,No
10088,1,1,Not a Fatality (not Applicable),No
10088,2,1,Not a Fatality (not Applicable),No
10089,1,1,White,No
10089,2,1,Not a Fatality (not Applicable),No
10090,1,1,Black or African American,No
10090,1,2,Not a Fatality (not Applicable),No
10090,1,3,Not a Fatality (not Applicable),No
10090,2,1,Not a Fatality (not Applicable),No
10091,0,1,White,No
10091,1,1,Not a Fatality (not Applicable),No
10092,1,1,White,No
10092,2,1,Not a Fatality (not Applicable),No
10093,1,1,Not a Fatality (not Applicable),No
10093,2,1,White,No
10094,0,1,Black or African American,No
10094,1,1,Not a Fatality (not Applicable),No
10094,1,2,Not a Fatality (not Applicable),No
10094,1,3,Not a Fatality (not Applicable),No
10095,1,1,Black or African American,No
10096,1,1,Black or African American,No
10097,1,1,Not a Fatality (not Applicable),No
10097,1,2,Unknown,No
10097,1,3,Not a Fatality (not Applicable),No
10098,1,1,Black or African American,No
10099,1,1,Black or African American,No
10099,2,1,Not a Fatality (not Applicable),No
10100,1,1,Black or African American,No
10100,1,2,Black or African American,No
10100,1,3,Not a Fatality (not Applicable),No
10101,0,1,White,No
10101,1,1,Not a Fatality (not Applicable),No
10101,2,1,Not a Fatality (not Applicable),No
10101,2,2,Not a Fatality (not Applicable),No
10102,1,1,White,No
10102,2,1,Not a Fatality (not Applicable),No
10103,1,1,White,No
10104,1,1,Not a Fatality (not Applicable),No
10104,2,1,White,No
10105,1,1,White,No
10105,2,1,Not a Fatality (not Applicable),No
10105,2,2,Not a Fatality (not Applicable),No
10105,2,3,Not a Fatality (not Applicable),No
10105,2,4,Not a Fatality (not Applicable),No
10105,2,5,Not a Fatality (not Applicable),No
10105,2,6,Not a Fatality (not Applicable),No
10105,2,7,Not a Fatality (not Applicable),No
10106,1,1,White,No
10106,2,1,Not a Fatality (not Applicable),No
10107,1,1,White,No
10107,2,1,Not a Fatality (not Applicable),No
10108,1,1,White,No
10109,1,1,White,No
10110,0,1,Black or African American,No
10110,1,1,Not a Fatality (not Applicable),No
10111,1,1,White,No
10111,1,2,Not a Fatality (not Applicable),No
10111,2,1,Not a Fatality (not Applicable),No
10112,1,1,White,No
10113,1,1,White,No
10113,2,1,Not a Fatality (not Applicable),No
10113,2,2,Not a Fatality (not Applicable),No
10113,2,3,White,No
10114,1,1,White,No
10114,2,1,Not a Fatality (not Applicable),No
10115,1,1,White,No
10116,1,1,Black or African American,No
10117,1,1,White,No
10118,1,1,White,No
10119,1,1,Black or African American,No
10120,1,1,White,No
10120,1,2,White,No
10121,1,1,White,No
10122,0,1,White,No
10122,1,1,Not a Fatality (not Applicable),No
10123,0,1,White,No
10123,0,2,White,No
10123,1,1,Not a Fatality (not Applicable),No
10124,1,1,Not a Fatality (not Applicable),No
10124,1,2,Unknown,No
10124,1,3,Not a Fatality (not Applicable),No
10124,1,4,Not a Fatality (not Applicable),No
10124,1,5,Not a Fatality (not Applicable),No
10125,1,1,White,No
10126,1,1,White,No
10127,1,1,White,No
10128,1,1,White,No
10128,2,1,Not a Fatality (not Applicable),No
10129,1,1,White,No
10129,1,2,Not a Fatality (not Applicable),No
10129,1,3,Not a Fatality (not Applicable),No
10129,1,4,Not a Fatality (not Applicable),No
10130,1,1,Not a Fatality (not Applicable),No
10130,1,2,Not a Fatality (not Applicable),No
10130,2,1,White,No
10130,3,1,Not a Fatality (not Applicable),No
10131,1,1,White,No
10131,2,1,Not a Fatality (not Applicable),No
10132,1,1,White,No
10132,2,1,Not a Fatality (not Applicable),No
10133,1,1,White,No
10133,2,1,Not a Fatality (not Applicable),No
10134,1,1,Black or African American,No
10134,2,1,Not a Fatality (not Applicable),No
10135,1,1,White,No
10135,2,1,Not a Fatality (not Applicable),No
10136,0,1,White,No
10136,1,1,Not a Fatality (not Applicable),No
10137,1,1,Black or African American,No
10138,1,1,White,No
10138,2,1,Not a Fatality (not Applicable),No
10138,2,2,Not a Fatality (not Applicable),No
10139,1,1,Black or African American,No
10140,1,1,White,No
10140,2,1,Not a Fatality (not Applicable),No
10140,2,2,Not a Fatality (not Applicable),No
10140,3,1,Not a Fatality (not Applicable),No
10140,3,2,Not a Fatality (not Applicable),No
10140,4,1,Not a Fatality (not Applicable),No
10140,4,2,Not a Fatality (not Applicable),No
10141,1,1,White,No
10142,1,1,White,No
10142,2,1,Not a Fatality (not Applicable),No
10142,2,2,Not a Fatality (not Applicable),No
10143,1,1,Not a Fatality (not Applicable),No
10143,1,2,Not a Fatality (not Applicable),No
10143,2,1,Not a Fatality (not Applicable),No
10143,2,2,Not a Fatality (not Applicable),No
10143,2,3,Black or African American,No
10143,3,1,Not a Fatality (not Applicable),No
10143,4,1,Not a Fatality (not Applicable),No
10143,4,2,Not a Fatality (not Applicable),No
10143,4,3,Not a Fatality (not Applicable),No
10143,4,4,Not a Fatality (not Applicable),No
10143,5,1,Not a Fatality (not Applicable),No
10143,6,1,Not a Fatality (not Applicable),No
10144,1,1,Not a Fatality (not Applicable),No
10144,2,1,White,No
10145,1,1,Not a Fatality (not Applicable),No
10146,0,1,White,No
10146,1,1,Not a Fatality (not Applicable),No
10147,1,1,Black or African American,No
10147,2,1,Not a Fatality (not Applicable),No
10147,2,2,Not a Fatality (not Applicable),No
10148,1,1,Not a Fatality (not Applicable),No
10148,1,2,Not a Fatality (not Applicable),No
10148,1,3,Unknown,No
10148,1,4,Unknown,No
10149,1,1,White,No
10149,2,1,Not a Fatality (not Applicable),No
10149,2,2,Not a Fatality (not Applicable),No
10150,1,1,White,No
10151,0,1,White,No
10151,1,1,Not a Fatality (not Applicable),No
10152,1,1,Black or African American,No
10153,1,1,"Asian or Pacific Islander, no specific (individual) race",No
10153,1,2,Not a Fatality (not Applicable),No
10153,1,3,"Asian or Pacific Islander, no specific (individual) race",No
10153,2,1,Not a Fatality (not Applicable),No
10154,1,1,White,No
10154,2,1,Not a Fatality (not Applicable),No
10155,1,1,White,No
10156,0,1,White,No
10156,1,1,Not a Fatality (not Applicable),No
10157,1,1,Black or African American,No
10158,1,1,White,No
10159,1,1,White,No
10160,1,1,White,No
10161,1,1,White,No
10162,1,1,Black or African American,No
10162,2,1,Not a Fatality (not Applicable),No
10163,1,1,Black or African American,No
10163,2,1,Not a Fatality (not Applicable),No
10163,2,2,Not a Fatality (not Applicable),No
10164,1,1,Not a Fatality (not Applicable),No
10164,2,1,Not a Fatality (not Applicable),No
10164,2,2,Not a Fatality (not Applicable),No
10164,2,3,Black or African American,No
10164,2,4,Not a Fatality (not Applicable),No
10165,1,1,White,No
10165,2,1,Not a Fatality (not Applicable),No
10166,1,1,Black or African American,No
10167,1,1,White,No
10167,1,2,Not a Fatality (not Applicable),No
10168,1,1,Not a Fatality (not Applicable),No
10168,1,2,White,No
10169,1,1,Black or African American,No
10169,1,2,Black or African American,No
10170,1,1,White,No
10170,2,1,Not a Fatality (not Applicable),No
10171,0,1,White,No
10171,1,1,Not a Fatality (not Applicable),No
10172,1,1,White,No
10173,1,1,White,No
10174,1,1,Not a Fatality (not Applicable),No
10174,1,2,Not a Fatality (not Applicable),No
10174,2,1,Not a Fatality (not Applicable),No
10174,2,2,White,No
10175,1,1,White,No
10176,1,1,White,No
10176,2,1,Not a Fatality (not Applicable),No
10177,1,1,Not a Fatality (not Applicable),No
10177,2,1,White,No
10178,1,1,Black or African American,No
10178,2,1,Not a Fatality (not Applicable),No
10179,1,1,Not a Fatality (not Applicable),No
10179,1,2,Korean,No
10180,0,1,Black or African American,No
10180,1,1,Not a Fatality (not Applicable),No
10181,1,1,Not a Fatality (not Applicable),No
10181,2,1,White,No
10181,3,1,Not a Fatality (not Applicable),No
10182,1,1,Black or African American,No
10182,2,1,Not a Fatality (not Applicable),No
10182,2,2,Not a Fatality (not Applicable),No
10182,2,3,Not a Fatality (not Applicable),No
10182,2,4,Not a Fatality (not Applicable),No
10183,1,1,Black or African American,No
10184,1,1,Black or African American,No
10185,0,1,Black or African American,No
10185,1,1,Not a Fatality (not Applicable),No
10185,1,2,Not a Fatality (not Applicable),No
10185,1,3,Not a Fatality (not Applicable),No
10186,1,1,Not a Fatality (not Applicable),No
10186,2,1,Not a Fatality (not Applicable),No
10186,2,2,White,No
10187,1,1,Not a Fatality (not Applicable),No
10187,2,1,White,No
10188,1,1,White,No
10188,2,1,Not a Fatality (not Applicable),No
10189,0,1,Black or African American,No
10189,2,1,Not a Fatality (not Applicable),No
10189,2,2,Not a Fatality (not Applicable),No
10189,3,1,Not a Fatality (not Applicable),No
10189,3,2,Not a Fatality (not Applicable),No
10189,4,1,Not a Fatality (not Applicable),No
10190,1,1,White,No
10190,1,2,Not a Fatality (not Applicable),No
10190,2,1,Not a Fatality (not Applicable),No
10190,2,2,Not a Fatality (not Applicable),No
10191,1,1,Black or African American,No
10192,1,1,Black or African American,No
10192,2,1,Not a Fatality (not Applicable),No
10192,2,2,Not a Fatality (not Applicable),No
10192,2,3,Not a Fatality (not Applicable),No
10193,1,1,Not a Fatality (not Applicable),No
10193,1,2,Not a Fatality (not Applicable),No
10193,2,1,Black or African American,No
10193,2,2,Not a Fatality (not Applicable),No
10194,1,1,White,No
10194,1,2,Not a Fatality (not Applicable),No
10194,2,1,Not a Fatality (not Applicable),No
10195,1,1,White,No
10195,1,2,White,No
10195,1,3,Not a Fatality (not Applicable),No
10195,2,1,Not a Fatality (not Applicable),No
10196,1,1,Black or African American,No
10197,1,1,Not a Fatality (not Applicable),No
10197,1,2,White,No
10198,1,1,Black or African American,No
10198,1,2,Not a Fatality (not Applicable),No
10199,0,1,Black or African American,No
10199,2,1,Not a Fatality (not Applicable),No
10200,0,1,Black or African American,No
10200,1,1,Not a Fatality (not Applicable),No
10201,1,1,White,No
10201,1,2,White,No
10201,1,3,Unknown,No
10202,1,1,White,No
10203,1,1,White,No
10204,1,1,Black or African American,No
10205,1,1,Not a Fatality (not Applicable),No
10205,1,2,Not a Fatality (not Applicable),No
10205,1,3,Not a Fatality (not Applicable),No
10205,1,4,Not a Fatality (not Applicable),No
10205,2,1,White,No
10206,1,1,Black or African American,No
10206,1,2,Not a Fatality (not Applicable),No
10206,1,3,Black or African American,No
10207,1,1,White,No
10207,2,1,Not a Fatality (not Applicable),No
10208,1,1,White,No
10209,1,1,Not a Fatality (not Applicable),No
10209,1,2,White,No
10210,1,1,White,No
10211,1,1,White,No
10211,2,1,Not a Fatality (not Applicable),No
10212,1,1,Black or African American,No
10213,0,1,White,No
10213,1,1,Not a Fatality (not Applicable),No
10214,1,1,Black or African American,No
10215,1,1,Not a Fatality (not Applicable),No
10215,1,2,Not a Fatality (not Applicable),No
10215,2,1,White,No
10216,1,1,Black or African American,No
10216,1,2,Not a Fatality (not Applicable),No
10216,2,1,Not a Fatality (not Applicable),No
10216,2,2,Not a Fatality (not Applicable),No
10216,2,3,Not a Fatality (not Applicable),No
10217,0,1,White,No
10217,1,1,Not a Fatality (not Applicable),No
10218,1,1,Black or African American,No
10219,1,1,White,No
10219,2,1,White,No
10220,1,1,Not a Fatality (not Applicable),No
10220,1,2,Black or African American,No
10220,1,3,Not a Fatality (not Applicable),No
10221,1,1,White,No
10221,2,1,Not a Fatality (not Applicable),No
10221,3,1,Not a Fatality (not Applicable),No
10222,1,1,Black or African American,No
10222,2,1,Not a Fatality (not Applicable),No
10223,1,1,White,No
10223,2,1,White,No
10223,2,2,Not a Fatality (not Applicable),No
10223,2,3,Not a Fatality (not Applicable),No
10224,1,1,White,No
10225,1,1,Black or African American,No
10225,2,1,Not a Fatality (not Applicable),No
10226,1,1,White,No
10227,0,1,Black or African American,No
10227,1,1,Not a Fatality (not Applicable),No
10228,1,1,Not a Fatality (not Applicable),No
10228,1,2,White,No
10229,0,1,Black or African American,No
10229,1,1,Not a Fatality (not Applicable),No
10230,1,1,White,No
10231,1,1,White,No
10231,2,1,Not a Fatality (not Applicable),No
10232,1,1,White,No
10233,1,1,Black or African American,No
10234,1,1,White,No
10235,1,1,White,No
10236,1,1,White,No
10237,1,1,White,No
10237,2,1,Not a Fatality (not Applicable),No
10237,3,1,Not a Fatality (not Applicable),No
10238,1,1,White,No
10238,2,1,White,No
10239,1,1,White,No
10239,2,1,Not a Fatality (not Applicable),No
10239,2,2,Not a Fatality (not Applicable),No
10239,3,1,Not a Fatality (not Applicable),No
10240,1,1,Not a Fatality (not Applicable),No
10240,2,1,White,No
10240,2,2,Not a Fatality (not Applicable),No
10241,1,1,White,No
10241,2,1,Not a Fatality (not Applicable),No
10242,1,1,Black or African American,No
10242,2,1,Not a Fatality (not Applicable),No
10243,1,1,White,No
10244,0,1,Black or African American,No
10244,1,1,Not a Fatality (not Applicable),No
10245,1,1,White,No
10246,1,1,Not a Fatality (not Applicable),No
10246,1,2,Not a Fatality (not Applicable),No
10246,1,3,White,No
10246,1,4,Not a Fatality (not Applicable),No
10246,2,1,Not a Fatality (not Applicable),No
10246,3,1,White,No
10247,1,1,White,No
10248,1,1,Black or African American,No
10248,2,1,Not a Fatality (not Applicable),No
10248,2,2,Not a Fatality (not Applicable),No
10249,1,1,Black or African American,No
10250,1,1,Black or African American,No
10251,0,1,White,No
10251,1,1,Not a Fatality (not Applicable),No
10251,1,2,Not a Fatality (not Applicable),No
10251,1,3,Not a Fatality (not Applicable),No
10251,1,4,Not a Fatality (not Applicable),No
10252,1,1,White,No
10252,1,2,Not a Fatality (not Applicable),No
10253,1,1,Black or African American,No
10253,1,2,White,No
10254,1,1,White,No
10254,1,2,Not a Fatality (not Applicable),No
10254,1,3,Not a Fatality (not Applicable),No
10255,1,1,Black or African American,No
10255,2,1,Not a Fatality (not Applicable),No
10256,1,1,Not a Fatality (not Applicable),No
10256,2,1,Unknown,No
10256,3,1,Not a Fatality (not Applicable),No
10256,4,1,Not a Fatality (not Applicable),No
10256,5,1,Not a Fatality (not Applicable),No
10257,1,1,Not a Fatality (not Applicable),No
10257,2,1,Black or African American,No
10257,2,2,Not a Fatality (not Applicable),No
10258,1,1,Not a Fatality (not Applicable),No
10258,1,2,White,No
10258,2,1,Not a Fatality (not Applicable),No
10259,1,1,Not a Fatality (not Applicable),No
10259,2,1,Not a Fatality (not Applicable),No
10259,3,1,White,No
10259,3,2,White,No
10260,1,1,White,No
10260,2,1,White,No
10261,1,1,White,No
10262,1,1,White,No
10262,1,2,Not a Fatality (not Applicable),No
10262,2,1,Not a Fatality (not Applicable),No
10263,1,1,White,No
10263,2,1,Not a Fatality (not Applicable),No
10264,1,1,Not a Fatality (not Applicable),No
10264,2,1,White,No
10265,1,1,Black or African American,No
10265,1,2,Not a Fatality (not Applicable),No
10265,2,1,Not a Fatality (not Applicable),No
10265,2,2,Not a Fatality (not Applicable),No
10265,2,3,Not a Fatality (not Applicable),No
10266,1,1,White,No
10267,1,1,White,No
10268,1,1,Not a Fatality (not Applicable),No
10268,2,1,Not a Fatality (not Applicable),No
10268,2,2,White,No
10269,1,1,White,No
10269,2,1,Not a Fatality (not Applicable),No
10270,1,1,White,No
10271,1,1,White,No
10271,1,2,Not a Fatality (not Applicable),No
10272,0,1,White,No
10272,1,1,Not a Fatality (not Applicable),No
10272,1,2,Not a Fatality (not Applicable),No
10273,1,1,Black or African American,No
10274,0,1,White,No
10274,1,1,Not a Fatality (not Applicable),No
10275,1,1,Black or African American,No
10276,1,1,Not a Fatality (not Applicable),No
10276,1,2,White,No
10276,2,1,Not a Fatality (not Applicable),No
10277,0,1,White,No
10277,1,1,Not a Fatality (not Applicable),No
10278,1,1,Not a Fatality (not Applicable),No
10278,1,2,White,No
10278,2,1,Not a Fatality (not Applicable),No
10278,2,2,Not a Fatality (not Applicable),No
10279,1,1,White,No
10279,2,1,Not a Fatality (not Applicable),No
10280,1,1,White,No
10280,2,1,Not a Fatality (not Applicable),No
10282,1,1,Not a Fatality (not Applicable),No
10282,1,2,Not a Fatality (not Applicable),No
10282,1,3,White,No
10283,1,1,Not a Fatality (not Applicable),No
10283,1,2,White,No
10283,2,1,Not a Fatality (not Applicable),No
10283,2,2,Not a Fatality (not Applicable),No
10283,2,3,Not a Fatality (not Applicable),No
10284,1,1,White,No
10285,1,1,Not a Fatality (not Applicable),No
10285,1,2,White,No
10286,1,1,Not a Fatality (not Applicable),No
10286,2,1,White,No
10287,1,1,Black or African American,No
10287,1,2,Not a Fatality (not Applicable),No
10288,1,1,White,No
10288,1,2,Not a Fatality (not Applicable),No
10288,2,1,Not a Fatality (not Applicable),No
10288,2,2,Not a Fatality (not Applicable),No
10288,2,3,Not a Fatality (not Applicable),No
10288,2,4,Not a Fatality (not Applicable),No
10289,1,1,White,No
10290,1,1,White,No
10290,2,1,Not a Fatality (not Applicable),No
10290,2,2,Not a Fatality (not Applicable),No
10291,1,1,Not a Fatality (not Applicable),No
10291,1,2,Not a Fatality (not Applicable),No
10291,2,1,White,No
10292,1,1,Not a Fatality (not Applicable),No
10292,2,1,Not a Fatality (not Applicable),No
10292,2,2,White,No
10293,1,1,Not a Fatality (not Applicable),No
10293,2,1,Not a Fatality (not Applicable),No
10293,2,2,Not a Fatality (not Applicable),No
10293,2,3,Black or African American,No
10293,2,4,Not a Fatality (not Applicable),No
10293,2,5,Not a Fatality (not Applicable),No
10294,1,1,White,No
10295,1,1,Black or African American,No
10296,1,1,Black or African American,No
10297,1,1,Not a Fatality (not Applicable),No
10297,1,2,Not a Fatality (not Applicable),No
10297,2,1,White,No
10297,2,2,White,No
10298,1,1,Not a Fatality (not Applicable),No
10298,1,2,White,No
10298,2,1,Not a Fatality (not Applicable),No
10298,2,2,Not a Fatality (not Applicable),No
10299,1,1,White,No
10300,1,1,Not a Fatality (not Applicable),No
10300,2,1,Black or African American,No
10301,1,1,Not a Fatality (not Applicable),No
10301,1,2,Black or African American,No
10302,0,1,White,No
10302,1,1,Not a Fatality (not Applicable),No
10302,1,2,Not a Fatality (not Applicable),No
10303,1,1,Black or African American,No
10304,1,1,White,No
10305,1,1,White,No
10306,1,1,Black or African American,No
10306,2,1,Not a Fatality (not Applicable),No
10306,3,1,Not a Fatality (not Applicable),No
10306,3,2,Not a Fatality (not Applicable),No
10307,1,1,White,No
10307,2,1,Not a Fatality (not Applicable),No
10308,1,1,Black or African American,No
10309,1,1,White,No
10310,1,1,White,No
10310,2,1,Not a Fatality (not Applicable),No
10310,2,2,Not a Fatality (not Applicable),No
10310,2,3,Not a Fatality (not Applicable),No
10310,2,4,Not a Fatality (not Applicable),No
10311,1,1,Not a Fatality (not Applicable),No
10311,1,2,White,No
10312,1,1,Black or African American,No
10312,2,1,Not a Fatality (not Applicable),No
10313,0,1,White,No
10313,1,1,Not a Fatality (not Applicable),No
10313,2,1,Not a Fatality (not Applicable),No
10314,1,1,Black or African American,No
10315,0,1,Black or African American,No
10315,1,1,Not a Fatality (not Applicable),No
10316,1,1,White,No
10316,2,1,Not a Fatality (not Applicable),No
10317,1,1,White,No
10318,1,1,White,No
10318,1,2,White,No
10319,1,1,White,No
10320,1,1,Not a Fatality (not Applicable),No
10320,1,2,White,No
10320,1,3,Not a Fatality (not Applicable),No
10320,1,4,Not a Fatality (not Applicable),No
10321,1,1,White,No
10321,2,1,Not a Fatality (not Applicable),No
10321,3,1,Not a Fatality (not Applicable),No
10321,4,1,Not a Fatality (not Applicable),No
10322,1,1,White,No
10323,1,1,Not a Fatality (not Applicable),No
10323,2,1,White,No
10324,1,1,White,No
10324,2,1,Not a Fatality (not Applicable),No
10324,3,1,Not a Fatality (not Applicable),No
10324,3,2,Not a Fatality (not Applicable),No
10324,3,3,Not a Fatality (not Applicable),No
10324,4,1,Not a Fatality (not Applicable),No
10324,4,2,Not a Fatality (not Applicable),No
10324,5,1,Not a Fatality (not Applicable),No
10324,6,1,Not a Fatality (not Applicable),No
10324,6,2,Not a Fatality (not Applicable),No
10325,1,1,White,No
10326,1,1,White,No
10326,2,1,Not a Fatality (not Applicable),No
10326,2,2,Not a Fatality (not Applicable),No
10327,1,1,Not a Fatality (not Applicable),No
10327,2,1,Black or African American,No
10328,0,1,Black or African American,No
10328,1,1,Not a Fatality (not Applicable),No
10329,1,1,Black or African American,No
10330,1,1,White,No
10331,1,1,Not a Fatality (not Applicable),No
10331,2,1,Not a Fatality (not Applicable),No
10331,2,2,White,No
10331,2,3,White,No
10332,1,1,White,No
10332,2,1,Not a Fatality (not Applicable),No
10333,1,1,White,No
10333,2,1,Not a Fatality (not Applicable),No
10334,1,1,White,No
10334,2,1,Black or African American,No
10334,2,2,White,No
10334,2,3,Not a Fatality (not Applicable),No
10334,2,4,Not a Fatality (not Applicable),No
10334,2,5,Not a Fatality (not Applicable),No
10335,1,1,Black or African American,No
10336,0,1,Black or African American,No
10336,1,1,Not a Fatality (not Applicable),No
10337,1,1,White,No
10337,1,2,Not a Fatality (not Applicable),No
10338,1,1,White,No
10339,1,1,Not a Fatality (not Applicable),No
10339,1,2,White,No
10340,1,1,Not a Fatality (not Applicable),No
10340,1,2,Not a Fatality (not Applicable),No
10340,1,3,White,No
10340,2,1,Not a Fatality (not Applicable),No
10341,1,1,White,No
10341,2,1,Not a Fatality (not Applicable),No
