st_case,veh_no,drimpair
10130,3,None/Apparently Normal
10131,1,Reported as Unknown if Impaired
10131,2,None/Apparently Normal
10132,1,None/Apparently Normal
10132,2,None/Apparently Normal
10133,1,"Under the Influence of Alcohol, Drugs or Medication"
10133,2,None/Apparently Normal
10134,1,None/Apparently Normal
10134,2,None/Apparently Normal
10135,1,None/Apparently Normal
10135,2,None/Apparently Normal
10136,1,None/Apparently Normal
10137,1,Reported as Unknown if Impaired
10138,1,None/Apparently Normal
10138,2,None/Apparently Normal
10139,1,Reported as Unknown if Impaired
10140,1,Reported as Unknown if Impaired
10140,2,None/Apparently Normal
10140,3,None/Apparently Normal
10140,4,None/Apparently Normal
10141,1,Reported as Unknown if Impaired
10142,1,Reported as Unknown if Impaired
10142,2,None/Apparently Normal
10143,1,None/Apparently Normal
10143,2,None/Apparently Normal
10143,3,None/Apparently Normal
10143,4,None/Apparently Normal
10143,5,None/Apparently Normal
10143,6,None/Apparently Normal
10144,1,Asleep or Fatigued
10144,2,None/Apparently Normal
10145,1,"Ill, Blackout"
10145,2,None/Apparently Normal
10146,1,None/Apparently Normal
10147,1,Reported as Unknown if Impaired
10147,2,None/Apparently Normal
10148,1,None/Apparently Normal
10149,1,None/Apparently Normal
10149,2,None/Apparently Normal
10150,1,None/Apparently Normal
10151,1,"Under the Influence of Alcohol, Drugs or Medication"
10152,1,Reported as Unknown if Impaired
10153,1,Reported as Unknown if Impaired
10153,2,None/Apparently Normal
10154,1,Reported as Unknown if Impaired
10154,2,None/Apparently Normal
10155,1,"Under the Influence of Alcohol, Drugs or Medication"
10156,1,Reported as Unknown if Impaired
10157,1,Reported as Unknown if Impaired
10158,1,Reported as Unknown if Impaired
10159,1,Reported as Unknown if Impaired
10160,1,None/Apparently Normal
10161,1,"Under the Influence of Alcohol, Drugs or Medication"
10162,1,None/Apparently Normal
10162,2,None/Apparently Normal
10163,1,Reported as Unknown if Impaired
10163,2,None/Apparently Normal
10164,1,Reported as Unknown if Impaired
10164,2,Reported as Unknown if Impaired
10165,1,None/Apparently Normal
10165,2,None/Apparently Normal
10166,1,Asleep or Fatigued
10167,1,"Ill, Blackout"
10168,1,Reported as Unknown if Impaired
10169,1,None/Apparently Normal
10170,1,Reported as Unknown if Impaired
10170,2,Reported as Unknown if Impaired
10171,1,None/Apparently Normal
10172,1,None/Apparently Normal
10173,1,"Ill, Blackout"
10174,1,Reported as Unknown if Impaired
10174,2,None/Apparently Normal
10175,1,Asleep or Fatigued
10176,1,None/Apparently Normal
10176,2,None/Apparently Normal
10177,1,None/Apparently Normal
10177,2,None/Apparently Normal
10178,1,None/Apparently Normal
10178,2,None/Apparently Normal
10179,1,None/Apparently Normal
10180,1,None/Apparently Normal
10181,1,None/Apparently Normal
10181,2,None/Apparently Normal
10181,3,None/Apparently Normal
10182,1,Reported as Unknown if Impaired
10182,2,None/Apparently Normal
10183,1,Physical Impairment - No Details
10184,1,Reported as Unknown if Impaired
10185,1,"Under the Influence of Alcohol, Drugs or Medication"
10186,1,None/Apparently Normal
10186,2,None/Apparently Normal
10187,1,Reported as Unknown if Impaired
10187,2,Reported as Unknown if Impaired
10188,1,Reported as Unknown if Impaired
10188,2,None/Apparently Normal
10189,1,No Driver Present/Unknown if Driver Present
10189,2,None/Apparently Normal
10189,3,None/Apparently Normal
10189,4,None/Apparently Normal
10190,1,Reported as Unknown if Impaired
10190,2,None/Apparently Normal
10191,1,None/Apparently Normal
10192,1,Reported as Unknown if Impaired
10192,2,None/Apparently Normal
10193,1,None/Apparently Normal
10193,2,Reported as Unknown if Impaired
10194,1,Reported as Unknown if Impaired
10194,2,None/Apparently Normal
10195,1,None/Apparently Normal
10195,2,None/Apparently Normal
10196,1,None/Apparently Normal
10197,1,None/Apparently Normal
10198,1,Reported as Unknown if Impaired
10199,1,No Driver Present/Unknown if Driver Present
10199,2,None/Apparently Normal
10200,1,None/Apparently Normal
10201,1,Reported as Unknown if Impaired
10202,1,Reported as Unknown if Impaired
10203,1,"Ill, Blackout"
10204,1,Reported as Unknown if Impaired
10205,1,None/Apparently Normal
10205,2,Reported as Unknown if Impaired
10206,1,Reported as Unknown if Impaired
10207,1,None/Apparently Normal
10207,2,None/Apparently Normal
10208,1,None/Apparently Normal
10209,1,Asleep or Fatigued
10210,1,Reported as Unknown if Impaired
10211,1,None/Apparently Normal
10211,2,None/Apparently Normal
10212,1,None/Apparently Normal
10213,1,"Under the Influence of Alcohol, Drugs or Medication"
10214,1,Reported as Unknown if Impaired
10215,1,None/Apparently Normal
10215,2,None/Apparently Normal
10216,1,Reported as Unknown if Impaired
10216,2,Reported as Unknown if Impaired
10217,1,None/Apparently Normal
10218,1,None/Apparently Normal
10219,1,Reported as Unknown if Impaired
10219,2,None/Apparently Normal
10220,1,None/Apparently Normal
10221,1,Reported as Unknown if Impaired
10221,2,None/Apparently Normal
10221,3,None/Apparently Normal
10222,1,Reported as Unknown if Impaired
10222,2,None/Apparently Normal
10223,1,Reported as Unknown if Impaired
10223,2,Reported as Unknown if Impaired
10224,1,None/Apparently Normal
10225,1,None/Apparently Normal
10225,2,None/Apparently Normal
10226,1,Reported as Unknown if Impaired
10227,1,None/Apparently Normal
10228,1,"Ill, Blackout"
10229,1,None/Apparently Normal
10230,1,None/Apparently Normal
10231,1,None/Apparently Normal
10231,2,None/Apparently Normal
10232,1,Reported as Unknown if Impaired
10233,1,Reported as Unknown if Impaired
10234,1,Physical Impairment - No Details
10235,1,Physical Impairment - No Details
10236,1,Reported as Unknown if Impaired
10237,1,None/Apparently Normal
10237,2,None/Apparently Normal
10237,3,None/Apparently Normal
10238,1,Reported as Unknown if Impaired
10238,2,Reported as Unknown if Impaired
10239,1,Reported as Unknown if Impaired
10239,2,None/Apparently Normal
10239,3,None/Apparently Normal
10240,1,"Under the Influence of Alcohol, Drugs or Medication"
10240,2,None/Apparently Normal
10241,1,None/Apparently Normal
10241,2,None/Apparently Normal
10242,1,Reported as Unknown if Impaired
10242,2,Reported as Unknown if Impaired
10243,1,None/Apparently Normal
10244,1,None/Apparently Normal
10245,1,"Under the Influence of Alcohol, Drugs or Medication"
10246,1,Reported as Unknown if Impaired
10246,2,None/Apparently Normal
10246,3,None/Apparently Normal
10247,1,"Under the Influence of Alcohol, Drugs or Medication"
10248,1,Reported as Unknown if Impaired
10248,2,None/Apparently Normal
10249,1,"Under the Influence of Alcohol, Drugs or Medication"
10250,1,Reported as Unknown if Impaired
10251,1,None/Apparently Normal
10252,1,Reported as Unknown if Impaired
10253,1,None/Apparently Normal
10254,1,"Emotional (depressed, angry, disturbed, etc.)"
10255,1,None/Apparently Normal
10255,2,None/Apparently Normal
10256,1,Reported as Unknown if Impaired
10256,2,Reported as Unknown if Impaired
10256,3,Reported as Unknown if Impaired
10256,4,Reported as Unknown if Impaired
10256,5,Reported as Unknown if Impaired
10257,1,None/Apparently Normal
10257,2,None/Apparently Normal
10258,1,None/Apparently Normal
10258,2,None/Apparently Normal
10259,1,None/Apparently Normal
10259,2,None/Apparently Normal
10259,3,None/Apparently Normal
10260,1,None/Apparently Normal
10260,2,None/Apparently Normal
10261,1,None/Apparently Normal
10262,1,None/Apparently Normal
10262,2,None/Apparently Normal
10263,1,None/Apparently Normal
10263,2,None/Apparently Normal
10264,1,"Under the Influence of Alcohol, Drugs or Medication"
10264,2,Reported as Unknown if Impaired
10265,1,"Under the Influence of Alcohol, Drugs or Medication"
10265,2,None/Apparently Normal
10266,1,Asleep or Fatigued
10266,1,"Under the Influence of Alcohol, Drugs or Medication"
10267,1,None/Apparently Normal
10268,1,None/Apparently Normal
10268,2,None/Apparently Normal
10269,1,Reported as Unknown if Impaired
10269,2,None/Apparently Normal
10270,1,Reported as Unknown if Impaired
10271,1,Asleep or Fatigued
10272,1,None/Apparently Normal
10273,1,Reported as Unknown if Impaired
10274,1,None/Apparently Normal
10275,1,None/Apparently Normal
10276,1,Reported as Unknown if Impaired
10276,2,None/Apparently Normal
10277,1,Reported as Unknown if Impaired
10278,1,None/Apparently Normal
10278,2,None/Apparently Normal
10279,1,None/Apparently Normal
10279,2,None/Apparently Normal
10280,1,Reported as Unknown if Impaired
10280,2,None/Apparently Normal
10282,1,"Emotional (depressed, angry, disturbed, etc.)"
10282,1,"Under the Influence of Alcohol, Drugs or Medication"
10283,1,None/Apparently Normal
10283,2,None/Apparently Normal
10284,1,"Under the Influence of Alcohol, Drugs or Medication"
10285,1,"Under the Influence of Alcohol, Drugs or Medication"
10286,1,None/Apparently Normal
10286,2,None/Apparently Normal
10287,1,Asleep or Fatigued
10288,1,None/Apparently Normal
10288,2,None/Apparently Normal
10289,1,Reported as Unknown if Impaired
10290,1,None/Apparently Normal
10290,2,None/Apparently Normal
10291,1,"Under the Influence of Alcohol, Drugs or Medication"
10291,2,Reported as Unknown if Impaired
10292,1,Reported as Unknown if Impaired
10292,2,Reported as Unknown if Impaired
10293,1,None/Apparently Normal
10293,2,Reported as Unknown if Impaired
10294,1,Reported as Unknown if Impaired
10295,1,None/Apparently Normal
10296,1,None/Apparently Normal
10297,1,None/Apparently Normal
10297,2,Reported as Unknown if Impaired
10298,1,Reported as Unknown if Impaired
10298,2,None/Apparently Normal
10299,1,"Under the Influence of Alcohol, Drugs or Medication"
10300,1,Reported as Unknown if Impaired
10300,2,Reported as Unknown if Impaired
10301,1,None/Apparently Normal
10302,1,None/Apparently Normal
10303,1,None/Apparently Normal
10304,1,"Under the Influence of Alcohol, Drugs or Medication"
10305,1,Reported as Unknown if Impaired
10306,1,Reported as Unknown if Impaired
10306,2,None/Apparently Normal
10306,3,None/Apparently Normal
10307,1,None/Apparently Normal
10307,2,None/Apparently Normal
10308,1,"Under the Influence of Alcohol, Drugs or Medication"
10309,1,"Under the Influence of Alcohol, Drugs or Medication"
10310,1,Reported as Unknown if Impaired
10310,2,None/Apparently Normal
10311,1,Reported as Unknown if Impaired
10312,1,Reported as Unknown if Impaired
10312,2,None/Apparently Normal
10313,1,"Under the Influence of Alcohol, Drugs or Medication"
10313,2,None/Apparently Normal
10314,1,Reported as Unknown if Impaired
10315,1,None/Apparently Normal
10316,1,None/Apparently Normal
10316,2,None/Apparently Normal
10317,1,"Ill, Blackout"
10318,1,Reported as Unknown if Impaired
10319,1,Reported as Unknown if Impaired
10320,1,None/Apparently Normal
10321,1,Reported as Unknown if Impaired
10321,2,None/Apparently Normal
10321,3,None/Apparently Normal
10321,4,None/Apparently Normal
10322,1,Reported as Unknown if Impaired
10323,1,None/Apparently Normal
10323,2,Reported as Unknown if Impaired
10324,1,Reported as Unknown if Impaired
10324,2,None/Apparently Normal
10324,3,None/Apparently Normal
10324,4,None/Apparently Normal
10324,5,None/Apparently Normal
10324,6,None/Apparently Normal
10325,1,None/Apparently Normal
10326,1,Reported as Unknown if Impaired
10326,2,None/Apparently Normal
10327,1,None/Apparently Normal
10327,2,None/Apparently Normal
10328,1,None/Apparently Normal
10329,1,Reported as Unknown if Impaired
10330,1,Reported as Unknown if Impaired
10331,1,"Under the Influence of Alcohol, Drugs or Medication"
10331,2,None/Apparently Normal
10332,1,Reported as Unknown if Impaired
10332,2,None/Apparently Normal
10333,1,Reported as Unknown if Impaired
10333,2,None/Apparently Normal
10334,1,Reported as Unknown if Impaired
10334,2,Reported as Unknown if Impaired
10335,1,None/Apparently Normal
10336,1,None/Apparently Normal
10337,1,"Under the Influence of Alcohol, Drugs or Medication"
10338,1,Reported as Unknown if Impaired
10339,1,"Under the Influence of Alcohol, Drugs or Medication"
10340,1,None/Apparently Normal
10340,2,None/Apparently Normal
10341,1,None/Apparently Normal
10341,2,None/Apparently Normal
10341,3,None/Apparently Normal
10342,1,"Under the Influence of Alcohol, Drugs or Medication"
10342,2,None/Apparently Normal
10343,1,None/Apparently Normal
10343,2,None/Apparently Normal
10344,1,Reported as Unknown if Impaired
10345,1,None/Apparently Normal
10345,2,None/Apparently Normal
10346,1,Reported as Unknown if Impaired
10346,2,None/Apparently Normal
10346,3,None/Apparently Normal
10347,1,Reported as Unknown if Impaired
10347,2,None/Apparently Normal
10348,1,Reported as Unknown if Impaired
10348,2,None/Apparently Normal
10349,1,None/Apparently Normal
10350,1,"Under the Influence of Alcohol, Drugs or Medication"
10350,2,None/Apparently Normal
10351,1,Reported as Unknown if Impaired
10351,2,None/Apparently Normal
10352,1,Reported as Unknown if Impaired
10353,1,Reported as Unknown if Impaired
10354,1,Reported as Unknown if Impaired
10354,2,Reported as Unknown if Impaired
10354,3,None/Apparently Normal
10355,1,None/Apparently Normal
10355,2,None/Apparently Normal
10356,1,Reported as Unknown if Impaired
10357,1,"Under the Influence of Alcohol, Drugs or Medication"
10358,1,None/Apparently Normal
10359,1,None/Apparently Normal
10360,1,Reported as Unknown if Impaired
10361,1,Reported as Unknown if Impaired
10361,2,None/Apparently Normal
10362,1,None/Apparently Normal
10363,1,None/Apparently Normal
10364,1,"Under the Influence of Alcohol, Drugs or Medication"
10365,1,"Emotional (depressed, angry, disturbed, etc.)"
10365,2,None/Apparently Normal
10365,3,None/Apparently Normal
10366,1,Reported as Unknown if Impaired
10367,1,None/Apparently Normal
10368,1,Reported as Unknown if Impaired
10369,1,None/Apparently Normal
10370,1,"Ill, Blackout"
10371,1,"Under the Influence of Alcohol, Drugs or Medication"
10371,2,None/Apparently Normal
10372,1,None/Apparently Normal
10373,1,None/Apparently Normal
10373,2,None/Apparently Normal
10374,1,Reported as Unknown if Impaired
10374,2,None/Apparently Normal
10374,3,None/Apparently Normal
10374,4,None/Apparently Normal
10375,1,"Ill, Blackout"
10376,1,Reported as Unknown if Impaired
10376,2,None/Apparently Normal
10376,3,None/Apparently Normal
10377,1,None/Apparently Normal
10377,2,None/Apparently Normal
10377,3,None/Apparently Normal
10378,1,Reported as Unknown if Impaired
10379,1,None/Apparently Normal
10379,2,None/Apparently Normal
10380,1,None/Apparently Normal
10381,1,Reported as Unknown if Impaired
10382,1,Reported as Unknown if Impaired
10382,2,None/Apparently Normal
10383,1,Reported as Unknown if Impaired
10384,1,Deaf/Hard of Hearing
10385,1,None/Apparently Normal
10386,1,None/Apparently Normal
10386,2,None/Apparently Normal
10386,3,None/Apparently Normal
10387,1,Reported as Unknown if Impaired
10388,1,None/Apparently Normal
10389,1,Reported as Unknown if Impaired
10390,1,Reported as Unknown if Impaired
10391,1,Reported as Unknown if Impaired
10392,1,Reported as Unknown if Impaired
10393,1,None/Apparently Normal
10393,2,None/Apparently Normal
10393,3,None/Apparently Normal
10394,1,"Under the Influence of Alcohol, Drugs or Medication"
10395,1,Reported as Unknown if Impaired
10396,1,None/Apparently Normal
10397,1,Reported as Unknown if Impaired
10398,1,None/Apparently Normal
10398,2,None/Apparently Normal
10399,1,None/Apparently Normal
10399,2,None/Apparently Normal
10400,1,Asleep or Fatigued
10401,1,None/Apparently Normal
10402,1,None/Apparently Normal
10403,1,Reported as Unknown if Impaired
10404,1,None/Apparently Normal
10404,2,None/Apparently Normal
10405,1,Reported as Unknown if Impaired
10406,1,Asleep or Fatigued
10407,1,Reported as Unknown if Impaired
10407,2,None/Apparently Normal
10408,1,None/Apparently Normal
10408,2,None/Apparently Normal
10408,3,None/Apparently Normal
10410,1,None/Apparently Normal
10412,1,None/Apparently Normal
10413,1,"Under the Influence of Alcohol, Drugs or Medication"
10414,1,None/Apparently Normal
10415,1,Physical Impairment - No Details
10416,1,Reported as Unknown if Impaired
10416,2,None/Apparently Normal
10417,1,None/Apparently Normal
10418,1,Reported as Unknown if Impaired
10419,1,None/Apparently Normal
10420,1,None/Apparently Normal
10420,2,Reported as Unknown if Impaired
10421,1,Reported as Unknown if Impaired
10422,1,Reported as Unknown if Impaired
10422,2,None/Apparently Normal
10422,3,None/Apparently Normal
10423,1,"Under the Influence of Alcohol, Drugs or Medication"
10424,1,Reported as Unknown if Impaired
10424,2,None/Apparently Normal
10425,1,None/Apparently Normal
10426,1,"Under the Influence of Alcohol, Drugs or Medication"
10426,2,None/Apparently Normal
10427,1,Reported as Unknown if Impaired
10428,1,Reported as Unknown if Impaired
10429,1,Reported as Unknown if Impaired
10429,2,None/Apparently Normal
10429,3,None/Apparently Normal
10429,4,None/Apparently Normal
10430,1,"Under the Influence of Alcohol, Drugs or Medication"
10430,2,None/Apparently Normal
10431,1,None/Apparently Normal
10431,2,None/Apparently Normal
10432,1,None/Apparently Normal
10432,2,None/Apparently Normal
10433,1,Reported as Unknown if Impaired
10433,2,Reported as Unknown if Impaired
10434,1,Reported as Unknown if Impaired
10435,1,Reported as Unknown if Impaired
10435,2,None/Apparently Normal
10436,1,Physical Impairment - No Details
10436,2,None/Apparently Normal
10436,3,None/Apparently Normal
10437,1,Reported as Unknown if Impaired
10438,1,Reported as Unknown if Impaired
10438,2,Reported as Unknown if Impaired
10438,3,None/Apparently Normal
10439,1,None/Apparently Normal
10440,1,Reported as Unknown if Impaired
10441,1,"Under the Influence of Alcohol, Drugs or Medication"
10442,1,Reported as Unknown if Impaired
10442,2,None/Apparently Normal
10443,1,"Under the Influence of Alcohol, Drugs or Medication"
10444,1,Reported as Unknown if Impaired
10445,1,Reported as Unknown if Impaired
10446,1,None/Apparently Normal
10447,1,None/Apparently Normal
10447,2,None/Apparently Normal
10448,1,Reported as Unknown if Impaired
10449,1,Reported as Unknown if Impaired
10449,2,Reported as Unknown if Impaired
10450,1,None/Apparently Normal
10451,1,None/Apparently Normal
10451,2,None/Apparently Normal
10452,1,Reported as Unknown if Impaired
10453,1,Reported as Unknown if Impaired
10454,1,"Under the Influence of Alcohol, Drugs or Medication"
10455,1,None/Apparently Normal
10456,1,None/Apparently Normal
10457,1,Reported as Unknown if Impaired
10457,2,None/Apparently Normal
10458,1,Reported as Unknown if Impaired
10458,2,None/Apparently Normal
10459,1,None/Apparently Normal
10460,1,None/Apparently Normal
10460,2,None/Apparently Normal
10461,1,None/Apparently Normal
10462,1,None/Apparently Normal
10462,2,None/Apparently Normal
10463,1,None/Apparently Normal
10464,1,Reported as Unknown if Impaired
10465,1,None/Apparently Normal
10466,1,None/Apparently Normal
10467,1,Physical Impairment - No Details
10467,2,None/Apparently Normal
10467,3,None/Apparently Normal
10468,1,None/Apparently Normal
10469,1,Reported as Unknown if Impaired
10470,1,None/Apparently Normal
10471,1,Reported as Unknown if Impaired
10471,2,None/Apparently Normal
10472,1,Reported as Unknown if Impaired
10473,1,None/Apparently Normal
10473,2,None/Apparently Normal
10474,1,Reported as Unknown if Impaired
10475,1,"Ill, Blackout"
10476,1,Not Reported
10477,1,Reported as Unknown if Impaired
10478,1,Reported as Unknown if Impaired
10478,2,Reported as Unknown if Impaired
10479,1,"Ill, Blackout"
10480,1,None/Apparently Normal
10481,1,None/Apparently Normal
10481,2,None/Apparently Normal
10481,3,None/Apparently Normal
10482,1,None/Apparently Normal
10482,2,Reported as Unknown if Impaired
10482,3,None/Apparently Normal
10482,4,None/Apparently Normal
10483,1,None/Apparently Normal
10483,2,None/Apparently Normal
10484,1,Reported as Unknown if Impaired
10485,1,Reported as Unknown if Impaired
10486,1,None/Apparently Normal
10487,1,None/Apparently Normal
10487,2,"Under the Influence of Alcohol, Drugs or Medication"
10488,1,Reported as Unknown if Impaired
10489,1,Reported as Unknown if Impaired
10489,2,None/Apparently Normal
10490,1,None/Apparently Normal
10490,2,None/Apparently Normal
10490,3,None/Apparently Normal
10490,4,None/Apparently Normal
10490,5,None/Apparently Normal
10491,1,"Under the Influence of Alcohol, Drugs or Medication"
10492,1,Reported as Unknown if Impaired
10492,2,None/Apparently Normal
10493,1,"Under the Influence of Alcohol, Drugs or Medication"
10494,1,None/Apparently Normal
10495,1,None/Apparently Normal
10496,1,Reported as Unknown if Impaired
10496,2,Reported as Unknown if Impaired
10497,1,Reported as Unknown if Impaired
10497,2,None/Apparently Normal
10498,1,None/Apparently Normal
10498,2,Reported as Unknown if Impaired
10498,3,None/Apparently Normal
10499,1,Asleep or Fatigued
10500,1,None/Apparently Normal
10500,2,None/Apparently Normal
10501,1,"Under the Influence of Alcohol, Drugs or Medication"
10502,1,Reported as Unknown if Impaired
10502,2,Reported as Unknown if Impaired
10502,3,None/Apparently Normal
10503,1,None/Apparently Normal
10504,1,Reported as Unknown if Impaired
10505,1,Reported as Unknown if Impaired
10506,1,None/Apparently Normal
10507,1,None/Apparently Normal
10508,1,Reported as Unknown if Impaired
10509,1,None/Apparently Normal
10510,1,None/Apparently Normal
10511,1,None/Apparently Normal
10512,1,"Ill, Blackout"
10513,1,None/Apparently Normal
10513,2,None/Apparently Normal
10514,1,Reported as Unknown if Impaired
10515,1,Reported as Unknown if Impaired
10516,1,None/Apparently Normal
10517,1,"Under the Influence of Alcohol, Drugs or Medication"
10518,1,"Under the Influence of Alcohol, Drugs or Medication"
10519,1,None/Apparently Normal
10521,1,None/Apparently Normal
10521,2,None/Apparently Normal
10522,1,None/Apparently Normal
10522,2,None/Apparently Normal
10523,1,None/Apparently Normal
10524,1,Reported as Unknown if Impaired
10524,2,None/Apparently Normal
10525,1,None/Apparently Normal
10525,2,None/Apparently Normal
10526,1,None/Apparently Normal
10526,2,None/Apparently Normal
10527,1,None/Apparently Normal
10527,2,None/Apparently Normal
10528,1,None/Apparently Normal
10529,1,Reported as Unknown if Impaired
