st_case,veh_no,per_no,pbage,pbsex,pbptype,pbswalk,pedctype,bikectype,pedpos,pedleg,pedsnr,pedcgp,bikecgp
10185,0,1,29,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10189,0,1,60,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10199,0,1,43,Female,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
10200,0,1,2,Female,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10213,0,1,40,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10217,0,1,31,Male,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
10227,0,1,43,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10229,0,1,61,Female,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10244,0,1,26,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10251,0,1,39,Male,Pedestrian,None Noted,Walking/Running Along Roadway Against Traffic - From Front,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10272,0,1,13,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Undetected Bicyclist�or Detected - Too Late to Avoid,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10274,0,1,73,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10277,0,1,66,Female,Pedestrian,None Noted,Walking/Running Along Roadway - Direction / Position Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10302,0,1,38,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10313,0,1,27,Male,Bicyclist,None Noted,Not a Pedestrian,Unusual Circumstances,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Other / Unusual Circumstances
10315,0,1,36,Male,Pedestrian,None Noted,Walking/Running Along Roadway Against Traffic - From Front,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10328,0,1,25,Female,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10336,0,1,24,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10352,0,1,38,Female,Pedestrian,None Noted,Motorist Failed to Yield,Not a Cyclist,Crosswalk Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, approach direction unknown.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10358,0,1,63,Male,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
10362,0,1,78,Male,Bicyclist,None Noted,Not a Pedestrian,Bicyclist Left Turn - Same Direction,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Bicyclist Left Turn / Merge
10367,0,1,23,Male,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10372,0,1,31,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10390,0,1,46,Female,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10393,0,1,33,Female,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
10397,0,1,33,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
10402,0,1,49,Female,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10413,0,1,32,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10423,0,1,24,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10445,0,1,77,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Other/Unknown,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10453,0,1,28,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Other/ Unknown,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10465,0,1,44,Male,Pedestrian,None Noted,Working in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Working or Playing in Roadway,Not a Cyclist
10465,0,2,63,Male,Pedestrian,None Noted,Working in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Working or Playing in Roadway,Not a Cyclist
10466,0,1,74,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10468,0,1,46,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Other/ Unknown,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10470,0,1,6,Male,Bicyclist,None Noted,Not a Pedestrian,Unknown Approach Paths,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Other / Unknown - Insufficient Details
10475,0,1,42,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10477,0,1,50,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10507,0,1,69,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10510,0,1,45,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10511,0,1,70,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10514,0,1,50,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10517,0,1,45,Female,Pedestrian,Yes,Motor Vehicle Loss of Control,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10519,0,1,62,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists left.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10535,0,1,21,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10537,0,1,48,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10554,0,1,62,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10554,0,2,24,Female,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10557,0,1,14,Male,Pedestrian,Yes,At Intersection - Other / Unknown,Not a Cyclist,Intersection Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Other / Unknown - Insufficient Details,Not a Cyclist
10563,0,1,23,Male,Pedestrian,None Noted,Vehicle into Vehicle or Vehicle into Object,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10564,0,1,53,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10576,0,1,20,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
40040,0,1,43,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10576,0,2,18,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10579,0,1,50,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10585,0,1,74,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Bicyclist Swerved,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10586,0,1,42,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10607,0,1,23,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10611,0,1,21,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10617,0,1,30,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Unknown/None of the Above,Unknown/Insufficient Information,Walking/Running Along Roadway,Not a Cyclist
10623,0,1,35,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
10636,0,1,62,Male,Bicyclist,None Noted,Not a Pedestrian,Bicyclist Left Turn - Same Direction,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Bicyclist Left Turn / Merge
10644,0,1,34,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Unpaved Right-of-Way,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10646,0,1,18,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, other",Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10656,0,1,55,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10668,0,1,52,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10674,0,1,31,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10675,0,1,999,Male,Pedestrian,None Noted,Motorist Entering Driveway,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not Applicable,Not Applicable,Driveway Access/Driveway Access Related,Not a Cyclist
10687,0,1,999,Female,Pedestrian,None Noted,Dart-Out  Visual Obstruction Noted,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10695,0,1,60,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Unpaved Right-of-Way,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10697,0,1,42,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10702,0,1,66,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, approach direction unknown.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10712,0,1,54,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists left.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10714,0,1,63,Female,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10716,0,1,60,Male,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Intersection Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, approach direction unknown.","Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10718,0,1,21,Male,Pedestrian,None Noted,Standing in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10719,0,1,39,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Other/Unknown,Unknown/None of the Above,Unknown/Insufficient Information,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10721,0,1,60,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Other/ Unknown,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10732,0,1,26,Female,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10740,0,1,27,Female,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Undetected Bicyclist�or Detected - Too Late to Avoid,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10753,0,1,22,Female,Pedestrian,Yes,Motorist Failed to Yield,Not a Cyclist,Crosswalk Area,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10753,0,2,21,Female,Pedestrian,Yes,Motorist Failed to Yield,Not a Cyclist,Crosswalk Area,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10754,0,1,50,Male,Pedestrian,None Noted,Walking/Running Along Roadway Against Traffic - From Front,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10765,0,1,29,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10770,0,1,42,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10774,0,1,52,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10777,0,1,40,Male,Pedestrian,None Noted,Pedestrian Loss of Control,Not a Cyclist,Travel Lane,Farside,"Motorist turning right - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, other",Unusual Circumstances,Not a Cyclist
10797,0,1,24,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
10806,0,1,59,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10808,0,1,66,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10826,0,1,999,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10830,0,1,57,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
10832,0,1,69,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Other/ Unknown,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10833,0,1,25,Male,Pedestrian,None Noted,Standing in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
10845,0,1,26,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
10848,0,1,25,Male,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10850,0,1,84,Male,Pedestrian,None Noted,Driverless Vehicle,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10853,0,1,55,Male,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Intersection Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists left.","Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
10854,0,1,58,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Undetected Bicyclist�or Detected - Too Late to Avoid,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
10866,0,1,54,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
10881,0,1,75,Male,Pedestrian,None Noted,Multiple Threat,Not a Cyclist,Crosswalk Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, traveled from motorists right.",Multiple Threat / Trapped,Not a Cyclist
