st_case,veh_no,vision
10070,1,No Obstruction Noted
10071,1,No Obstruction Noted
10071,2,No Obstruction Noted
10072,1,No Obstruction Noted
10072,2,No Obstruction Noted
10073,1,No Obstruction Noted
10073,2,"Reflected Glare, Bright Sunlight, Headlights"
10074,1,No Obstruction Noted
10074,2,No Obstruction Noted
10075,1,No Obstruction Noted
10076,1,No Obstruction Noted
10076,2,No Obstruction Noted
10077,1,No Obstruction Noted
10078,1,No Obstruction Noted
10079,1,No Obstruction Noted
10080,1,No Obstruction Noted
10080,2,No Obstruction Noted
10080,3,No Obstruction Noted
10081,1,No Obstruction Noted
10081,2,No Obstruction Noted
10081,3,No Obstruction Noted
10081,4,No Obstruction Noted
10081,5,No Obstruction Noted
10082,1,No Obstruction Noted
10082,2,No Obstruction Noted
10082,3,No Obstruction Noted
10083,1,No Obstruction Noted
10083,2,No Obstruction Noted
10084,1,No Obstruction Noted
10085,1,No Obstruction Noted
10085,2,No Obstruction Noted
10086,1,No Obstruction Noted
10087,1,No Driver Present/Unknown if Driver present
10087,2,No Obstruction Noted
10088,1,No Obstruction Noted
10089,1,No Obstruction Noted
10089,2,No Obstruction Noted
10090,1,No Obstruction Noted
10090,2,No Obstruction Noted
10091,1,No Obstruction Noted
10092,1,No Obstruction Noted
10092,2,No Obstruction Noted
10093,1,No Obstruction Noted
10093,2,No Obstruction Noted
10094,1,No Obstruction Noted
10095,1,No Obstruction Noted
10096,1,No Obstruction Noted
10097,1,No Obstruction Noted
10098,1,No Obstruction Noted
10099,1,No Obstruction Noted
10099,2,No Obstruction Noted
10100,1,No Obstruction Noted
10101,1,No Obstruction Noted
10101,2,No Obstruction Noted
10102,1,No Obstruction Noted
10102,2,No Obstruction Noted
10103,1,No Obstruction Noted
10104,1,No Obstruction Noted
10104,2,No Obstruction Noted
10105,1,No Obstruction Noted
10105,2,No Obstruction Noted
10106,1,No Obstruction Noted
10106,2,No Obstruction Noted
10107,1,No Obstruction Noted
10107,2,No Obstruction Noted
10108,1,No Obstruction Noted
10109,1,No Obstruction Noted
10110,1,No Obstruction Noted
10111,1,No Obstruction Noted
10111,2,No Obstruction Noted
10112,1,No Obstruction Noted
10113,1,No Obstruction Noted
10113,2,No Obstruction Noted
10114,1,No Obstruction Noted
10114,2,No Obstruction Noted
10115,1,No Obstruction Noted
10116,1,No Obstruction Noted
10117,1,No Obstruction Noted
10118,1,No Obstruction Noted
10119,1,No Obstruction Noted
10120,1,No Obstruction Noted
10121,1,No Obstruction Noted
10122,1,No Obstruction Noted
10123,1,No Obstruction Noted
10124,1,No Obstruction Noted
10125,1,No Obstruction Noted
10126,1,No Obstruction Noted
10127,1,No Obstruction Noted
10128,1,No Obstruction Noted
10128,2,No Obstruction Noted
10129,1,No Obstruction Noted
10130,1,No Obstruction Noted
10130,2,No Obstruction Noted
10130,3,No Obstruction Noted
10131,1,No Obstruction Noted
10131,2,No Obstruction Noted
10132,1,No Obstruction Noted
10132,2,No Obstruction Noted
10133,1,No Obstruction Noted
10133,2,No Obstruction Noted
10134,1,No Obstruction Noted
10134,2,No Obstruction Noted
10135,1,No Obstruction Noted
10135,2,No Obstruction Noted
10136,1,No Obstruction Noted
10137,1,No Obstruction Noted
10138,1,No Obstruction Noted
10138,2,In-Transport Motor Vehicle (including load)
10139,1,No Obstruction Noted
10140,1,No Obstruction Noted
10140,2,No Obstruction Noted
10140,3,No Obstruction Noted
10140,4,No Obstruction Noted
10141,1,No Obstruction Noted
10142,1,No Obstruction Noted
10142,2,No Obstruction Noted
10143,1,No Obstruction Noted
10143,2,No Obstruction Noted
10143,3,No Obstruction Noted
10143,4,No Obstruction Noted
10143,5,No Obstruction Noted
10143,6,No Obstruction Noted
10144,1,No Obstruction Noted
10144,2,No Obstruction Noted
10145,1,No Obstruction Noted
10145,2,No Obstruction Noted
10146,1,No Obstruction Noted
10147,1,No Obstruction Noted
10147,2,No Obstruction Noted
10148,1,No Obstruction Noted
10149,1,No Obstruction Noted
10149,2,No Obstruction Noted
10150,1,No Obstruction Noted
10151,1,No Obstruction Noted
10152,1,No Obstruction Noted
10153,1,No Obstruction Noted
10153,2,No Obstruction Noted
10154,1,No Obstruction Noted
10154,2,No Obstruction Noted
10155,1,No Obstruction Noted
10156,1,No Obstruction Noted
10157,1,No Obstruction Noted
10158,1,No Obstruction Noted
10159,1,No Obstruction Noted
10160,1,No Obstruction Noted
10161,1,No Obstruction Noted
10162,1,No Obstruction Noted
10162,2,No Obstruction Noted
10163,1,No Obstruction Noted
10163,2,No Obstruction Noted
10164,1,No Obstruction Noted
10164,2,No Obstruction Noted
10165,1,No Obstruction Noted
10165,2,No Obstruction Noted
10166,1,No Obstruction Noted
10167,1,No Obstruction Noted
10168,1,No Obstruction Noted
10169,1,No Obstruction Noted
10170,1,No Obstruction Noted
10170,2,No Obstruction Noted
10171,1,No Obstruction Noted
10172,1,No Obstruction Noted
10173,1,No Obstruction Noted
10174,1,No Obstruction Noted
10174,2,No Obstruction Noted
10175,1,No Obstruction Noted
10176,1,No Obstruction Noted
10176,2,No Obstruction Noted
10177,1,No Obstruction Noted
10177,2,No Obstruction Noted
10178,1,No Obstruction Noted
10178,2,No Obstruction Noted
10179,1,No Obstruction Noted
10180,1,No Obstruction Noted
10181,1,No Obstruction Noted
10181,2,No Obstruction Noted
10181,3,No Obstruction Noted
10182,1,No Obstruction Noted
10182,2,No Obstruction Noted
10183,1,No Obstruction Noted
10184,1,No Obstruction Noted
10185,1,No Obstruction Noted
10186,1,No Obstruction Noted
10186,2,No Obstruction Noted
10187,1,No Obstruction Noted
10187,2,No Obstruction Noted
10188,1,No Obstruction Noted
10188,2,No Obstruction Noted
10189,1,No Driver Present/Unknown if Driver present
10189,2,No Obstruction Noted
10189,3,No Obstruction Noted
10189,4,No Obstruction Noted
10190,1,No Obstruction Noted
10190,2,No Obstruction Noted
10191,1,No Obstruction Noted
10192,1,No Obstruction Noted
10192,2,No Obstruction Noted
10193,1,"Reflected Glare, Bright Sunlight, Headlights"
10193,1,"Trees, Crops, Vegetation"
10193,2,No Obstruction Noted
10194,1,No Obstruction Noted
10194,2,No Obstruction Noted
10195,1,No Obstruction Noted
10195,2,No Obstruction Noted
10196,1,No Obstruction Noted
10197,1,No Obstruction Noted
10198,1,No Obstruction Noted
10199,1,No Driver Present/Unknown if Driver present
10199,2,No Obstruction Noted
10200,1,No Obstruction Noted
10201,1,No Obstruction Noted
10202,1,No Obstruction Noted
10203,1,No Obstruction Noted
10204,1,No Obstruction Noted
10205,1,No Obstruction Noted
10205,2,No Obstruction Noted
10206,1,No Obstruction Noted
10207,1,No Obstruction Noted
10207,2,No Obstruction Noted
10208,1,No Obstruction Noted
10209,1,No Obstruction Noted
10210,1,No Obstruction Noted
10211,1,No Obstruction Noted
10211,2,No Obstruction Noted
10212,1,No Obstruction Noted
10213,1,No Obstruction Noted
10214,1,No Obstruction Noted
10215,1,No Obstruction Noted
10215,2,No Obstruction Noted
10216,1,No Obstruction Noted
10216,2,No Obstruction Noted
10217,1,No Obstruction Noted
10218,1,No Obstruction Noted
10219,1,No Obstruction Noted
10219,2,No Obstruction Noted
10220,1,No Obstruction Noted
10221,1,No Obstruction Noted
10221,2,No Obstruction Noted
10221,3,No Obstruction Noted
10222,1,No Obstruction Noted
10222,2,No Obstruction Noted
10223,1,No Obstruction Noted
10223,2,No Obstruction Noted
10224,1,No Obstruction Noted
10225,1,No Obstruction Noted
10225,2,No Obstruction Noted
10226,1,No Obstruction Noted
10227,1,No Obstruction Noted
10228,1,No Obstruction Noted
10229,1,No Obstruction Noted
10230,1,No Obstruction Noted
10231,1,No Obstruction Noted
10231,2,No Obstruction Noted
10232,1,No Obstruction Noted
10233,1,No Obstruction Noted
10234,1,No Obstruction Noted
10235,1,No Obstruction Noted
10236,1,No Obstruction Noted
10237,1,No Obstruction Noted
10237,2,No Obstruction Noted
10237,3,No Obstruction Noted
10238,1,No Obstruction Noted
10238,2,No Obstruction Noted
10239,1,No Obstruction Noted
10239,2,No Obstruction Noted
10239,3,No Obstruction Noted
10240,1,No Obstruction Noted
10240,2,No Obstruction Noted
10241,1,No Obstruction Noted
10241,2,No Obstruction Noted
10242,1,No Obstruction Noted
10242,2,No Obstruction Noted
10243,1,No Obstruction Noted
10244,1,No Obstruction Noted
10245,1,No Obstruction Noted
10246,1,No Obstruction Noted
10246,2,No Obstruction Noted
10246,3,No Obstruction Noted
10247,1,No Obstruction Noted
10248,1,No Obstruction Noted
10248,2,No Obstruction Noted
10249,1,No Obstruction Noted
10250,1,No Obstruction Noted
10251,1,"Reflected Glare, Bright Sunlight, Headlights"
10252,1,No Obstruction Noted
10253,1,No Obstruction Noted
10254,1,No Obstruction Noted
10255,1,No Obstruction Noted
10255,2,No Obstruction Noted
10256,1,No Obstruction Noted
10256,2,No Obstruction Noted
10256,3,No Obstruction Noted
10256,4,No Obstruction Noted
10256,5,No Obstruction Noted
10257,1,No Obstruction Noted
10257,2,No Obstruction Noted
10258,1,No Obstruction Noted
10258,2,No Obstruction Noted
10259,1,No Obstruction Noted
10259,2,No Obstruction Noted
10259,3,No Obstruction Noted
10260,1,No Obstruction Noted
10260,2,No Obstruction Noted
10261,1,No Obstruction Noted
10262,1,No Obstruction Noted
10262,2,No Obstruction Noted
10263,1,No Obstruction Noted
10263,2,No Obstruction Noted
10264,1,No Obstruction Noted
10264,2,No Obstruction Noted
10265,1,No Obstruction Noted
10265,2,No Obstruction Noted
10266,1,No Obstruction Noted
10267,1,No Obstruction Noted
10268,1,No Obstruction Noted
10268,2,No Obstruction Noted
10269,1,No Obstruction Noted
10269,2,No Obstruction Noted
10270,1,No Obstruction Noted
10271,1,No Obstruction Noted
10272,1,No Obstruction Noted
10273,1,No Obstruction Noted
10274,1,No Obstruction Noted
10275,1,No Obstruction Noted
10276,1,No Obstruction Noted
10276,2,No Obstruction Noted
10277,1,No Obstruction Noted
10278,1,No Obstruction Noted
10278,2,No Obstruction Noted
10279,1,No Obstruction Noted
10279,2,No Obstruction Noted
10280,1,No Obstruction Noted
10280,2,No Obstruction Noted
10282,1,No Obstruction Noted
10283,1,No Obstruction Noted
10283,2,No Obstruction Noted
10284,1,No Obstruction Noted
10285,1,No Obstruction Noted
10286,1,No Obstruction Noted
10286,2,No Obstruction Noted
10287,1,No Obstruction Noted
10288,1,No Obstruction Noted
10288,2,No Obstruction Noted
10289,1,No Obstruction Noted
10290,1,No Obstruction Noted
10290,2,No Obstruction Noted
10291,1,No Obstruction Noted
10291,2,No Obstruction Noted
10292,1,No Obstruction Noted
10292,2,No Obstruction Noted
10293,1,No Obstruction Noted
10293,2,No Obstruction Noted
10294,1,No Obstruction Noted
10295,1,No Obstruction Noted
10296,1,No Obstruction Noted
10297,1,No Obstruction Noted
10297,2,No Obstruction Noted
10298,1,No Obstruction Noted
10298,2,No Obstruction Noted
10299,1,No Obstruction Noted
10300,1,No Obstruction Noted
10300,2,No Obstruction Noted
10301,1,No Obstruction Noted
10302,1,No Obstruction Noted
10303,1,No Obstruction Noted
10304,1,No Obstruction Noted
10305,1,No Obstruction Noted
10306,1,No Obstruction Noted
10306,2,No Obstruction Noted
10306,3,No Obstruction Noted
10307,1,No Obstruction Noted
10307,2,No Obstruction Noted
10308,1,No Obstruction Noted
10309,1,No Obstruction Noted
10310,1,No Obstruction Noted
10310,2,No Obstruction Noted
10311,1,No Obstruction Noted
10312,1,No Obstruction Noted
10312,2,No Obstruction Noted
10313,1,No Obstruction Noted
10313,2,No Obstruction Noted
10314,1,No Obstruction Noted
10315,1,No Obstruction Noted
10316,1,No Obstruction Noted
10316,2,No Obstruction Noted
10317,1,No Obstruction Noted
10318,1,No Obstruction Noted
10319,1,No Obstruction Noted
10320,1,No Obstruction Noted
10321,1,No Obstruction Noted
10321,2,No Obstruction Noted
10321,3,No Obstruction Noted
10321,4,No Obstruction Noted
10322,1,No Obstruction Noted
10323,1,No Obstruction Noted
10323,2,No Obstruction Noted
10324,1,No Obstruction Noted
10324,2,No Obstruction Noted
10324,3,No Obstruction Noted
10324,4,No Obstruction Noted
10324,5,No Obstruction Noted
10324,6,No Obstruction Noted
10325,1,No Obstruction Noted
10326,1,No Obstruction Noted
10326,2,No Obstruction Noted
10327,1,In-Transport Motor Vehicle (including load)
10327,2,No Obstruction Noted
10328,1,No Obstruction Noted
10329,1,No Obstruction Noted
10330,1,No Obstruction Noted
10331,1,No Obstruction Noted
10331,2,No Obstruction Noted
10332,1,No Obstruction Noted
10332,2,No Obstruction Noted
10333,1,No Obstruction Noted
10333,2,No Obstruction Noted
10334,1,No Obstruction Noted
10334,2,No Obstruction Noted
10335,1,No Obstruction Noted
10336,1,No Obstruction Noted
10337,1,No Obstruction Noted
10338,1,No Obstruction Noted
10339,1,No Obstruction Noted
10340,1,No Obstruction Noted
10340,2,No Obstruction Noted
10341,1,No Obstruction Noted
10341,2,No Obstruction Noted
10341,3,No Obstruction Noted
10342,1,No Obstruction Noted
10342,2,No Obstruction Noted
10343,1,No Obstruction Noted
10343,2,No Obstruction Noted
10344,1,No Obstruction Noted
10345,1,No Obstruction Noted
10345,2,No Obstruction Noted
10346,1,No Obstruction Noted
10346,2,No Obstruction Noted
10346,3,No Obstruction Noted
10347,1,No Obstruction Noted
10347,2,No Obstruction Noted
10348,1,No Obstruction Noted
10348,2,No Obstruction Noted
10349,1,No Obstruction Noted
10350,1,No Obstruction Noted
10350,2,No Obstruction Noted
10351,1,No Obstruction Noted
10351,2,No Obstruction Noted
10352,1,No Obstruction Noted
10353,1,No Obstruction Noted
10354,1,No Obstruction Noted
10354,2,No Obstruction Noted
10354,3,No Obstruction Noted
10355,1,No Obstruction Noted
10355,2,No Obstruction Noted
10356,1,No Obstruction Noted
10357,1,No Obstruction Noted
10358,1,No Obstruction Noted
10359,1,No Obstruction Noted
10360,1,No Obstruction Noted
10361,1,No Obstruction Noted
10361,2,No Obstruction Noted
10362,1,No Obstruction Noted
10363,1,No Obstruction Noted
10364,1,No Obstruction Noted
10365,1,No Obstruction Noted
10365,2,No Obstruction Noted
10365,3,No Obstruction Noted
10366,1,No Obstruction Noted
10367,1,No Obstruction Noted
10368,1,No Obstruction Noted
10369,1,No Obstruction Noted
10370,1,No Obstruction Noted
10371,1,No Obstruction Noted
10371,2,No Obstruction Noted
10372,1,No Obstruction Noted
10373,1,No Obstruction Noted
10373,2,No Obstruction Noted
10374,1,No Obstruction Noted
10374,2,No Obstruction Noted
10374,3,No Obstruction Noted
10374,4,No Obstruction Noted
10375,1,No Obstruction Noted
10376,1,No Obstruction Noted
10376,2,No Obstruction Noted
10376,3,No Obstruction Noted
10377,1,No Obstruction Noted
10377,2,No Obstruction Noted
10377,3,No Obstruction Noted
10378,1,No Obstruction Noted
10379,1,No Obstruction Noted
10379,2,No Obstruction Noted
10380,1,No Obstruction Noted
10381,1,No Obstruction Noted
10382,1,No Obstruction Noted
10382,2,No Obstruction Noted
10383,1,No Obstruction Noted
10384,1,No Obstruction Noted
10385,1,No Obstruction Noted
10386,1,No Obstruction Noted
10386,2,No Obstruction Noted
10386,3,No Obstruction Noted
10387,1,No Obstruction Noted
10388,1,No Obstruction Noted
10389,1,No Obstruction Noted
10390,1,No Obstruction Noted
10391,1,No Obstruction Noted
10392,1,No Obstruction Noted
10393,1,No Obstruction Noted
10393,2,No Obstruction Noted
10393,3,No Obstruction Noted
10394,1,No Obstruction Noted
10395,1,Other Visual Obstruction
10396,1,No Obstruction Noted
10397,1,No Obstruction Noted
10398,1,No Obstruction Noted
10398,2,No Obstruction Noted
10399,1,No Obstruction Noted
10399,2,No Obstruction Noted
10400,1,No Obstruction Noted
10401,1,No Obstruction Noted
10402,1,No Obstruction Noted
10403,1,No Obstruction Noted
10404,1,No Obstruction Noted
10404,2,No Obstruction Noted
10405,1,No Obstruction Noted
10406,1,No Obstruction Noted
10407,1,No Obstruction Noted
10407,2,No Obstruction Noted
10408,1,No Obstruction Noted
10408,2,No Obstruction Noted
10408,3,No Obstruction Noted
10410,1,No Obstruction Noted
10412,1,No Obstruction Noted
10413,1,No Obstruction Noted
10414,1,No Obstruction Noted
10415,1,No Obstruction Noted
10416,1,No Obstruction Noted
10416,2,No Obstruction Noted
10417,1,No Obstruction Noted
10418,1,No Obstruction Noted
10419,1,No Obstruction Noted
10420,1,No Obstruction Noted
10420,2,No Obstruction Noted
10421,1,No Obstruction Noted
10422,1,No Obstruction Noted
10422,2,No Obstruction Noted
10422,3,No Obstruction Noted
10423,1,No Obstruction Noted
10424,1,No Obstruction Noted
10424,2,No Obstruction Noted
10425,1,No Obstruction Noted
10426,1,No Obstruction Noted
10426,2,No Obstruction Noted
10427,1,No Obstruction Noted
10428,1,No Obstruction Noted
10429,1,No Obstruction Noted
10429,2,No Obstruction Noted
10429,3,No Obstruction Noted
10429,4,No Obstruction Noted
10430,1,No Obstruction Noted
10430,2,No Obstruction Noted
10431,1,No Obstruction Noted
10431,2,No Obstruction Noted
10432,1,No Obstruction Noted
10432,2,No Obstruction Noted
10433,1,No Obstruction Noted
10433,2,No Obstruction Noted
10434,1,No Obstruction Noted
10435,1,No Obstruction Noted
10435,2,No Obstruction Noted
10436,1,No Obstruction Noted
10436,2,No Obstruction Noted
10436,3,No Obstruction Noted
10437,1,No Obstruction Noted
10438,1,No Obstruction Noted
10438,2,No Obstruction Noted
10438,3,No Obstruction Noted
10439,1,No Obstruction Noted
10440,1,No Obstruction Noted
10441,1,No Obstruction Noted
10442,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
10442,2,"Rain, Snow, Fog, Smoke, Sand, Dust"
10443,1,No Obstruction Noted
10444,1,No Obstruction Noted
10445,1,No Obstruction Noted
10446,1,No Obstruction Noted
10447,1,No Obstruction Noted
10447,2,No Obstruction Noted
10448,1,No Obstruction Noted
10449,1,No Obstruction Noted
10449,2,No Obstruction Noted
10450,1,No Obstruction Noted
10451,1,No Obstruction Noted
10451,2,No Obstruction Noted
10452,1,No Obstruction Noted
10453,1,No Obstruction Noted
10454,1,No Obstruction Noted
10455,1,No Obstruction Noted
10456,1,No Obstruction Noted
10457,1,No Obstruction Noted
10457,2,No Obstruction Noted
10458,1,No Obstruction Noted
10458,2,No Obstruction Noted
10459,1,No Obstruction Noted
10460,1,No Obstruction Noted
10460,2,No Obstruction Noted
10461,1,No Obstruction Noted
10462,1,No Obstruction Noted
10462,2,No Obstruction Noted
10463,1,No Obstruction Noted
10464,1,No Obstruction Noted
10465,1,No Obstruction Noted
10466,1,No Obstruction Noted
10467,1,No Obstruction Noted
10467,2,No Obstruction Noted
10467,3,No Obstruction Noted
10468,1,No Obstruction Noted
10469,1,No Obstruction Noted
10470,1,No Obstruction Noted
10471,1,No Obstruction Noted
10471,2,No Obstruction Noted
10472,1,No Obstruction Noted
10473,1,No Obstruction Noted
10473,2,No Obstruction Noted
10474,1,No Obstruction Noted
10475,1,No Obstruction Noted
10476,1,No Obstruction Noted
10477,1,No Obstruction Noted
10478,1,No Obstruction Noted
10478,2,No Obstruction Noted
10479,1,No Obstruction Noted
10480,1,No Obstruction Noted
10481,1,No Obstruction Noted
10481,2,No Obstruction Noted
10481,3,No Obstruction Noted
10482,1,No Obstruction Noted
10482,2,No Obstruction Noted
10482,3,No Obstruction Noted
10482,4,No Obstruction Noted
10483,1,No Obstruction Noted
10483,2,No Obstruction Noted
10484,1,No Obstruction Noted
10485,1,No Obstruction Noted
10486,1,No Obstruction Noted
10487,1,No Obstruction Noted
10487,2,No Obstruction Noted
10488,1,No Obstruction Noted
10489,1,No Obstruction Noted
10489,2,No Obstruction Noted
10490,1,No Obstruction Noted
10490,2,No Obstruction Noted
10490,3,No Obstruction Noted
10490,4,No Obstruction Noted
10490,5,No Obstruction Noted
10491,1,No Obstruction Noted
10492,1,No Obstruction Noted
10492,2,No Obstruction Noted
10493,1,No Obstruction Noted
10494,1,No Obstruction Noted
10495,1,No Obstruction Noted
10496,1,No Obstruction Noted
10496,2,No Obstruction Noted
10497,1,No Obstruction Noted
10497,2,No Obstruction Noted
10498,1,No Obstruction Noted
10498,2,No Obstruction Noted
10498,3,No Obstruction Noted
10499,1,No Obstruction Noted
10500,1,No Obstruction Noted
10500,2,No Obstruction Noted
10501,1,No Obstruction Noted
10502,1,No Obstruction Noted
10502,2,No Obstruction Noted
10502,3,No Obstruction Noted
10503,1,No Obstruction Noted
10504,1,No Obstruction Noted
10505,1,No Obstruction Noted
10506,1,No Obstruction Noted
10507,1,No Obstruction Noted
10508,1,No Obstruction Noted
10509,1,No Obstruction Noted
10510,1,No Obstruction Noted
10511,1,No Obstruction Noted
10512,1,No Obstruction Noted
10513,1,No Obstruction Noted
10513,2,No Obstruction Noted
10514,1,No Obstruction Noted
10515,1,No Obstruction Noted
10516,1,No Obstruction Noted
10517,1,No Obstruction Noted
10518,1,No Obstruction Noted
10519,1,No Obstruction Noted
10521,1,No Obstruction Noted
10521,2,No Obstruction Noted
10522,1,No Obstruction Noted
10522,2,No Obstruction Noted
10523,1,No Obstruction Noted
10524,1,No Obstruction Noted
10524,2,No Obstruction Noted
10525,1,No Obstruction Noted
10525,2,No Obstruction Noted
10526,1,In-Transport Motor Vehicle (including load)
10526,2,No Obstruction Noted
10527,1,No Obstruction Noted
10527,2,No Obstruction Noted
10528,1,No Obstruction Noted
10529,1,No Obstruction Noted
10530,1,No Obstruction Noted
10530,2,No Obstruction Noted
10531,1,No Obstruction Noted
10531,2,No Obstruction Noted
10532,1,No Obstruction Noted
10532,2,No Obstruction Noted
10532,3,No Obstruction Noted
10533,1,No Obstruction Noted
10533,2,No Obstruction Noted
10534,1,No Obstruction Noted
10534,2,No Obstruction Noted
10535,1,No Obstruction Noted
10536,1,No Obstruction Noted
10536,2,No Obstruction Noted
10536,3,No Obstruction Noted
10537,1,No Obstruction Noted
10537,2,No Driver Present/Unknown if Driver present
10538,1,No Obstruction Noted
10538,2,No Obstruction Noted
10539,1,No Obstruction Noted
10540,1,No Obstruction Noted
10541,1,No Obstruction Noted
10542,1,No Obstruction Noted
10543,1,No Obstruction Noted
10544,1,No Obstruction Noted
10545,1,No Obstruction Noted
10546,1,No Obstruction Noted
10547,1,No Obstruction Noted
10548,1,No Obstruction Noted
10549,1,No Obstruction Noted
10550,1,No Obstruction Noted
10551,1,No Obstruction Noted
10552,1,No Obstruction Noted
10552,2,No Obstruction Noted
10553,1,No Obstruction Noted
10553,2,No Obstruction Noted
10554,1,No Driver Present/Unknown if Driver present
10554,3,No Obstruction Noted
10555,1,No Obstruction Noted
10556,1,No Obstruction Noted
10556,2,No Obstruction Noted
10557,1,No Obstruction Noted
10558,1,No Obstruction Noted
10559,1,No Obstruction Noted
10559,2,No Obstruction Noted
10560,1,No Obstruction Noted
10560,2,No Obstruction Noted
10561,1,No Obstruction Noted
10561,2,No Obstruction Noted
10562,1,No Obstruction Noted
10563,1,No Obstruction Noted
10564,1,No Obstruction Noted
10564,2,No Obstruction Noted
10565,1,No Obstruction Noted
10566,1,No Obstruction Noted
10566,2,No Obstruction Noted
10567,1,No Obstruction Noted
10567,2,No Obstruction Noted
10567,3,No Obstruction Noted
10568,1,No Obstruction Noted
10568,2,No Obstruction Noted
10569,1,No Obstruction Noted
10570,1,No Obstruction Noted
10570,2,No Obstruction Noted
10570,3,No Obstruction Noted
10571,1,No Obstruction Noted
10571,2,No Obstruction Noted
10572,1,"Curve, Hill or Other Roadway Design Feature"
10572,2,"Curve, Hill or Other Roadway Design Feature"
10573,1,No Obstruction Noted
10574,1,No Obstruction Noted
10574,2,No Obstruction Noted
10575,1,No Obstruction Noted
10576,1,No Obstruction Noted
10577,1,No Obstruction Noted
10577,2,No Obstruction Noted
10578,1,No Obstruction Noted
10579,1,No Driver Present/Unknown if Driver present
10579,2,No Obstruction Noted
10580,1,No Obstruction Noted
10581,1,No Obstruction Noted
10582,1,No Obstruction Noted
10582,2,No Obstruction Noted
10582,3,No Obstruction Noted
10583,1,No Obstruction Noted
10583,2,No Obstruction Noted
10584,1,No Obstruction Noted
10584,2,No Obstruction Noted
10585,1,No Obstruction Noted
10586,1,No Obstruction Noted
10587,1,No Obstruction Noted
10587,2,No Obstruction Noted
10588,1,No Obstruction Noted
10589,1,No Obstruction Noted
10589,2,No Obstruction Noted
10590,1,No Obstruction Noted
10590,2,No Obstruction Noted
10590,3,No Obstruction Noted
10590,4,No Obstruction Noted
10591,1,No Obstruction Noted
10592,1,No Obstruction Noted
10592,2,No Obstruction Noted
10592,3,No Obstruction Noted
10593,1,No Obstruction Noted
10593,2,No Obstruction Noted
10594,1,No Obstruction Noted
10594,2,No Obstruction Noted
10595,1,No Obstruction Noted
10595,2,No Obstruction Noted
10596,1,No Obstruction Noted
10597,1,No Obstruction Noted
10598,1,No Obstruction Noted
10599,1,No Obstruction Noted
10600,1,No Obstruction Noted
10601,1,No Obstruction Noted
10601,2,No Obstruction Noted
