st_case,veh_no,per_no,nmcc
10274,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10277,0,1,None Noted
10302,0,1,Failure to Yield Right-Of-Way
10313,0,1,None Noted
10315,0,1,Wrong-Way Riding or Walking
10328,0,1,Wrong-Way Riding or Walking
10336,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10352,0,1,None Noted
10358,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10362,0,1,None Noted
10367,0,1,"Dash - Run, No Visual Obstruction Noted"
10367,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10367,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10372,0,1,Failure to Yield Right-Of-Way
10390,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10393,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10397,0,1,None Noted
10402,0,1,"Dash - Run, No Visual Obstruction Noted"
10402,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10413,0,1,None Noted
10423,0,1,None Noted
10445,0,1,None Noted
10453,0,1,None Noted
10465,0,1,None Noted
10465,0,2,None Noted
10466,0,1,Failure to Yield Right-Of-Way
10468,0,1,Reported as Unknown
10470,0,1,None Noted
10475,0,1,None Noted
10477,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10507,0,1,Failure to Yield Right-Of-Way
10507,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10510,0,1,Wrong-Way Riding or Walking
10511,0,1,None Noted
10514,0,1,None Noted
10517,0,1,None Noted
10519,0,1,Failure to Yield Right-Of-Way
10519,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10535,0,1,Wrong-Way Riding or Walking
10535,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10537,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10554,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10554,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10557,0,1,None Noted
10563,0,1,None Noted
10564,0,1,Failure to Yield Right-Of-Way
10564,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10576,0,1,Wrong-Way Riding or Walking
10576,0,2,Wrong-Way Riding or Walking
10579,0,1,None Noted
10585,0,1,Improper Turn/Merge
10586,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10607,0,1,Wrong-Way Riding or Walking
10611,0,1,Failure to Yield Right-Of-Way
10611,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10617,0,1,Wrong-Way Riding or Walking
10623,0,1,Reported as Unknown
10636,0,1,Improper or Erratic Lane Changing
10644,0,1,None Noted
10646,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10656,0,1,Failure to Yield Right-Of-Way
10668,0,1,Failure to Yield Right-Of-Way
10668,0,1,Wrong-Way Riding or Walking
10668,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10674,0,1,Failure to Yield Right-Of-Way
10675,0,1,Other (Specify:)
10687,0,1,Dart-Out - Visual Obstruction Noted
10687,0,1,Failure to Yield Right-Of-Way
10687,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10687,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10695,0,1,None Noted
10697,0,1,Failure to Yield Right-Of-Way
10697,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10697,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10702,0,1,Failure to Yield Right-Of-Way
10702,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10712,0,1,Failure to Yield Right-Of-Way
10712,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10714,0,1,Failure to Yield Right-Of-Way
10714,0,1,"Dash - Run, No Visual Obstruction Noted"
10716,0,1,Failure to Yield Right-Of-Way
10716,0,1,"Dash - Run, No Visual Obstruction Noted"
10716,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10718,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
10718,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10719,0,1,Failure to Yield Right-Of-Way
10719,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10721,0,1,Reported as Unknown
10732,0,1,None Noted
10740,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10753,0,1,"Inattentive (Talking, Eating, Etc.)"
10753,0,2,"Inattentive (Talking, Eating, Etc.)"
10754,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10765,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10770,0,1,None Noted
10774,0,1,Failure to Yield Right-Of-Way
10777,0,1,None Noted
10797,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10806,0,1,Failure to Yield Right-Of-Way
10808,0,1,Failure to Yield Right-Of-Way
10826,0,1,Failure to Yield Right-Of-Way
10826,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10830,0,1,Failure to Yield Right-Of-Way
10830,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10830,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10832,0,1,None Noted
10833,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10845,0,1,Wrong-Way Riding or Walking
10845,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10848,0,1,"Dash - Run, No Visual Obstruction Noted"
10848,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10848,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10850,0,1,None Noted
10853,0,1,"Dash - Run, No Visual Obstruction Noted"
10853,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10854,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
10866,0,1,None Noted
10881,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10899,0,1,Dart-Out - Visual Obstruction Noted
10904,0,1,None Noted
10910,0,1,None Noted
10912,0,1,Failure to Yield Right-Of-Way
10912,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10916,0,1,"Dash - Run, No Visual Obstruction Noted"
10916,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
10919,0,1,Failure to Yield Right-Of-Way
10919,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
20001,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
20001,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
20009,0,1,Failure to Yield Right-Of-Way
20009,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
20010,0,1,Reported as Unknown
20011,0,1,Failure to Yield Right-Of-Way
20011,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
20024,0,1,Failure to Yield Right-Of-Way
20024,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
20033,0,1,Dart-Out - Visual Obstruction Noted
20033,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
20033,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
20033,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
20044,0,1,None Noted
20044,0,2,None Noted
20044,0,3,None Noted
20052,0,1,Failure to Yield Right-Of-Way
20052,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
20056,0,1,Failure to Yield Right-Of-Way
20056,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
20058,0,1,Wrong-Way Riding or Walking
20060,0,1,"Inattentive (Talking, Eating, Etc.)"
20060,0,1,Wrong-Way Riding or Walking
20060,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
20064,0,1,None Noted
20074,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
20076,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
20077,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40003,0,1,Failure to Yield Right-Of-Way
40003,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40005,0,1,Failure to Yield Right-Of-Way
40005,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40016,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40018,0,1,Dart-Out - Visual Obstruction Noted
40018,0,1,Failure to Yield Right-Of-Way
40018,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40023,0,1,Failure to Yield Right-Of-Way
40023,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40025,0,1,Failure to Yield Right-Of-Way
40025,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40035,0,1,Failure to Yield Right-Of-Way
40035,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40039,0,1,Failure to Yield Right-Of-Way
40039,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40040,0,1,Failure to Yield Right-Of-Way
40040,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40041,0,1,Failure to Yield Right-Of-Way
40041,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40042,0,1,Reported as Unknown
40043,0,1,"Dash - Run, No Visual Obstruction Noted"
40047,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40047,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
40052,0,1,Failure to Yield Right-Of-Way
40052,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40057,0,1,None Noted
40062,0,1,Failure to Yield Right-Of-Way
40062,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40063,0,1,None Noted
40066,0,1,Reported as Unknown
40067,0,1,Reported as Unknown
40068,0,1,None Noted
40069,0,1,None Noted
40073,0,1,Reported as Unknown
40078,0,1,Failure to Yield Right-Of-Way
40078,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40081,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40083,0,1,Failure to Yield Right-Of-Way
40083,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40084,0,1,Reported as Unknown
40085,0,1,Improper Turn/Merge
40087,0,1,Reported as Unknown
40090,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40090,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
40093,0,1,Failure to Yield Right-Of-Way
40093,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40094,0,1,Failure to Yield Right-Of-Way
41008,0,1,None Noted
40094,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40097,0,1,None Noted
40100,0,1,Reported as Unknown
40102,0,1,"Dash - Run, No Visual Obstruction Noted"
40102,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40103,0,1,None Noted
40107,0,1,Failure to Yield Right-Of-Way
40110,0,1,Failure to Yield Right-Of-Way
40110,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40111,0,1,Failure to Yield Right-Of-Way
40115,0,1,Failure to Yield Right-Of-Way
40115,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40117,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
40120,0,1,Failure to Yield Right-Of-Way
40120,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40121,0,1,Failure to Yield Right-Of-Way
40121,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40123,0,1,Failure to Yield Right-Of-Way
40123,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40128,0,1,Reported as Unknown
40131,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40132,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40141,0,1,None Noted
40142,0,1,Failure to Yield Right-Of-Way
40142,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40144,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40144,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40145,0,1,None Noted
40149,0,1,Reported as Unknown
40150,0,1,Failure to Yield Right-Of-Way
40150,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40153,0,1,Failure to Yield Right-Of-Way
40153,0,1,Improper Turn/Merge
40155,0,1,Failure to Yield Right-Of-Way
40155,0,1,Improper Turn/Merge
40156,0,1,None Noted
40159,0,1,Failure to Yield Right-Of-Way
40159,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40162,0,1,Reported as Unknown
40180,0,1,Failure to Yield Right-Of-Way
40180,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40191,0,1,None Noted
40199,0,1,Failure to Yield Right-Of-Way
40199,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40200,0,1,Failure to Yield Right-Of-Way
40200,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40204,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40206,0,1,None Noted
40206,0,2,None Noted
40211,0,1,None Noted
40213,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
40222,0,1,None Noted
40223,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40225,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40227,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40228,0,1,None Noted
40229,0,1,None Noted
40230,0,1,Dart-Out - Visual Obstruction Noted
40232,0,1,Failure to Yield Right-Of-Way
40232,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40236,0,1,Failure to Yield Right-Of-Way
40236,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40240,0,1,None Noted
40242,0,1,Failure to Yield Right-Of-Way
40242,0,1,"Dash - Run, No Visual Obstruction Noted"
40242,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40243,0,1,Failure to Yield Right-Of-Way
40246,0,1,None Noted
40247,0,1,Failure to Yield Right-Of-Way
40247,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40255,0,1,Wrong-Way Riding or Walking
40262,0,1,Failure to Yield Right-Of-Way
40262,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40263,0,1,None Noted
40265,0,1,Failure to Yield Right-Of-Way
40265,0,1,"Dash - Run, No Visual Obstruction Noted"
40265,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40269,0,1,Failure to Yield Right-Of-Way
40269,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40271,0,1,Failure to Yield Right-Of-Way
40271,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40271,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40271,0,2,Failure to Yield Right-Of-Way
40271,0,2,"Failure to Obey Traffic Signs, Signals or Officer"
40271,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40278,0,1,Failure to Yield Right-Of-Way
40278,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40279,0,1,Failure to Yield Right-Of-Way
40279,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40283,0,1,None Noted
40284,0,1,Failure to Yield Right-Of-Way
40284,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40285,0,1,Failing to Have Lights on When Required
40285,0,1,Operating Without Required Equipment
40287,0,1,None Noted
40293,0,1,Failure to Yield Right-Of-Way
40293,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40294,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40297,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40297,0,1,"Inattentive (Talking, Eating, Etc.)"
40299,0,1,Failure to Yield Right-Of-Way
40299,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40300,0,1,Failure to Yield Right-Of-Way
40300,0,1,Wrong-Way Riding or Walking
40301,0,1,Failure to Yield Right-Of-Way
40301,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40305,0,1,Failure to Yield Right-Of-Way
40305,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40306,0,1,Failure to Yield Right-Of-Way
40306,0,1,"Dash - Run, No Visual Obstruction Noted"
40306,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40306,0,2,Failure to Yield Right-Of-Way
40306,0,2,"Dash - Run, No Visual Obstruction Noted"
40306,0,2,Improper Crossing of Roadway or Intersection (Jaywalking)
40309,0,1,Failure to Yield Right-Of-Way
40309,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40313,0,1,Failure to Yield Right-Of-Way
40313,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40313,0,2,Failure to Yield Right-Of-Way
40313,0,2,Improper Crossing of Roadway or Intersection (Jaywalking)
40315,0,1,None Noted
40317,0,1,Failure to Yield Right-Of-Way
40317,0,1,Improper Turn/Merge
40318,0,1,Failure to Yield Right-Of-Way
40318,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40324,0,1,None Noted
40330,0,1,Failure to Yield Right-Of-Way
40330,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40332,0,1,Improper Turn/Merge
40337,0,1,Wrong-Way Riding or Walking
40338,0,1,None Noted
40344,0,1,Reported as Unknown
40345,0,1,None Noted
40348,0,1,None Noted
40354,0,1,None Noted
40356,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40357,0,1,Failure to Yield Right-Of-Way
40357,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40359,0,1,Failure to Yield Right-Of-Way
40359,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40360,0,1,Failure to Yield Right-Of-Way
40360,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40363,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40364,0,1,Failure to Yield Right-Of-Way
40364,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40369,0,1,Failure to Yield Right-Of-Way
40369,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40371,0,1,Failure to Yield Right-Of-Way
40371,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40374,0,1,None Noted
40381,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40394,0,1,None Noted
40397,0,1,Dart-Out - Visual Obstruction Noted
40397,0,1,Failure to Yield Right-Of-Way
40399,0,1,Failure to Yield Right-Of-Way
40399,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40402,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40402,0,2,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40404,0,1,Failure to Yield Right-Of-Way
40404,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40406,0,1,Failure to Yield Right-Of-Way
40407,0,1,Operating Without Required Equipment
40412,0,1,Failure to Yield Right-Of-Way
40412,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40420,0,1,Failure to Yield Right-Of-Way
40420,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40421,0,1,Failure to Yield Right-Of-Way
40421,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40426,0,1,Reported as Unknown
40428,0,1,Wrong-Way Riding or Walking
40430,0,1,Failure to Yield Right-Of-Way
40430,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40432,0,1,Failure to Yield Right-Of-Way
40432,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40441,0,1,Failure to Yield Right-Of-Way
40441,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40443,0,1,None Noted
40443,0,2,None Noted
40444,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40445,0,1,None Noted
40456,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40480,0,1,Failure to Yield Right-Of-Way
40480,0,1,"Inattentive (Talking, Eating, Etc.)"
40480,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40481,0,1,None Noted
40504,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40507,0,1,Failure to Yield Right-Of-Way
40507,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40511,0,1,Failure to Yield Right-Of-Way
40511,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40512,0,1,Failure to Yield Right-Of-Way
40512,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40517,0,1,None Noted
40521,0,1,Failure to Yield Right-Of-Way
40521,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40522,0,1,Failure to Yield Right-Of-Way
40522,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40533,0,1,None Noted
40546,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40546,0,1,Other (Specify:)
40547,0,1,"Dash - Run, No Visual Obstruction Noted"
40549,0,1,Failure to Yield Right-Of-Way
40549,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40552,0,1,Failure to Yield Right-Of-Way
40553,0,1,Failure to Yield Right-Of-Way
40553,0,1,"Inattentive (Talking, Eating, Etc.)"
40553,0,1,"Dash - Run, No Visual Obstruction Noted"
40553,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40553,0,2,Failure to Yield Right-Of-Way
40553,0,2,"Inattentive (Talking, Eating, Etc.)"
40553,0,2,"Dash - Run, No Visual Obstruction Noted"
40553,0,2,Improper Crossing of Roadway or Intersection (Jaywalking)
40558,0,1,None Noted
40559,0,1,None Noted
40563,0,1,Failure to Yield Right-Of-Way
40563,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40568,0,1,None Noted
40569,0,1,Wrong-Way Riding or Walking
40569,0,1,Other (Specify:)
40573,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40575,0,1,None Noted
40575,0,2,None Noted
40575,0,3,None Noted
40576,0,1,Riding on Wrong Side of Road
40576,0,1,Other (Specify:)
40587,0,1,Failure to Yield Right-Of-Way
40590,0,1,Failure to Yield Right-Of-Way
40590,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40598,0,1,Reported as Unknown
40601,0,1,Reported as Unknown
40606,0,1,Failure to Yield Right-Of-Way
40606,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40607,0,1,Wrong-Way Riding or Walking
40611,0,1,Failure to Yield Right-Of-Way
40611,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40617,0,1,Failure to Yield Right-Of-Way
40617,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40620,0,1,None Noted
40632,0,1,Failure to Yield Right-Of-Way
40632,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40633,0,1,Failure to Yield Right-Of-Way
40633,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40633,0,1,"Dash - Run, No Visual Obstruction Noted"
40646,0,1,Failure to Yield Right-Of-Way
40646,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40648,0,1,None Noted
40648,0,2,None Noted
40649,0,1,Failure to Yield Right-Of-Way
40649,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40654,0,1,Reported as Unknown
40655,0,1,Other (Specify:)
40655,0,2,Other (Specify:)
40664,0,1,Reported as Unknown
40666,0,1,Failure to Yield Right-Of-Way
40666,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40668,0,1,Failure to Yield Right-Of-Way
40668,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40670,0,1,None Noted
40677,0,1,Failure to Yield Right-Of-Way
40677,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40678,0,1,Failure to Yield Right-Of-Way
40678,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40679,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40681,0,1,None Noted
40691,0,1,Failure to Yield Right-Of-Way
40691,0,1,"Inattentive (Talking, Eating, Etc.)"
40691,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40693,0,1,Failure to Yield Right-Of-Way
40693,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40694,0,1,Failure to Yield Right-Of-Way
40694,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40696,0,1,Failure to Yield Right-Of-Way
40696,0,1,"Inattentive (Talking, Eating, Etc.)"
40696,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40702,0,1,Failure to Yield Right-Of-Way
40702,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40706,0,1,Failure to Yield Right-Of-Way
40706,0,1,"Inattentive (Talking, Eating, Etc.)"
40706,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40707,0,1,Failure to Yield Right-Of-Way
40707,0,1,Wrong-Way Riding or Walking
40707,0,1,Other (Specify:)
40708,0,1,Failure to Yield Right-Of-Way
40708,0,1,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
40715,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40726,0,1,Failure to Yield Right-Of-Way
40726,0,1,"Failure to Obey Traffic Signs, Signals or Officer"
40729,0,1,Wrong-Way Riding or Walking
40739,0,1,Failure to Yield Right-Of-Way
40739,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40739,0,1,"Not Visible (Dark clothing, No Lighting, etc.)"
40745,0,1,Failure to Yield Right-Of-Way
40745,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40746,0,1,Failure to Yield Right-Of-Way
40746,0,1,Improper Crossing of Roadway or Intersection (Jaywalking)
40749,0,1,Improper or Erratic Lane Changing
