ST_CASE,VEH_NO,DRIVER_DISTRACTION
90333,6,Not Distracted
90333,7,Reported as Unknown if Distracted
90334,1,Not Distracted
90335,1,Reported as Unknown if Distracted
90335,2,Not Distracted
90336,1,Reported as Unknown if Distracted
90336,2,Not Distracted
90337,1,Not Distracted
90338,1,Reported as Unknown if Distracted
90339,1,Not Distracted
90339,2,Not Distracted
90340,1,Not Distracted
90340,2,Not Distracted
90341,1,Reported as Unknown if Distracted
90341,2,Reported as Unknown if Distracted
90342,1,Reported as Unknown if Distracted
90342,2,Reported as Unknown if Distracted
90343,1,Reported as Unknown if Distracted
90344,1,Not Distracted
90344,2,Reported as Unknown if Distracted
90345,1,Reported as Unknown if Distracted
90346,1,Reported as Unknown if Distracted
100001,1,Not Distracted
100001,2,Not Distracted
100002,1,Reported as Unknown if Distracted
100003,1,Not Distracted
100003,2,Not Distracted
100004,1,Not Distracted
100005,1,Not Distracted
100005,2,Not Distracted
100006,1,Distraction/Inattention
100006,2,Not Distracted
100007,1,Not Distracted
100007,2,Reported as Unknown if Distracted
100008,1,Not Distracted
100009,1,Not Distracted
100009,2,Not Distracted
100010,1,Not Distracted
100010,2,Not Distracted
100011,1,Not Distracted
100011,2,Reported as Unknown if Distracted
100012,1,Reported as Unknown if Distracted
100012,2,Not Distracted
100013,1,Reported as Unknown if Distracted
100014,1,Not Distracted
100014,2,Not Distracted
100014,3,Not Distracted
100015,1,Not Distracted
100016,1,Not Distracted
100017,1,Not Distracted
100017,2,Reported as Unknown if Distracted
100018,1,Not Distracted
100019,1,Not Distracted
100020,1,Not Distracted
100021,1,Not Distracted
100021,2,Not Distracted
100022,1,Not Distracted
100023,1,Not Distracted
100024,1,Not Distracted
100025,1,Not Distracted
100025,2,Not Distracted
100026,1,Not Distracted
100028,1,Reported as Unknown if Distracted
100028,2,Not Distracted
100029,1,Reported as Unknown if Distracted
100030,1,Reported as Unknown if Distracted
100030,2,Not Distracted
100031,1,Not Distracted
100032,1,Not Distracted
100032,2,Not Distracted
100033,1,Not Distracted
100033,2,Not Distracted
100034,1,Not Distracted
100034,2,Not Distracted
100035,1,Not Distracted
100035,2,Not Distracted
100036,1,
100036,2,Not Distracted
100036,3,
100036,4,Not Distracted
100036,5,Not Distracted
100036,6,Not Distracted
100036,7,Reported as Unknown if Distracted
100037,1,Not Distracted
100037,2,Not Distracted
100038,1,While Manipulating Mobile Phone
100039,1,Not Distracted
100039,2,Reported as Unknown if Distracted
100040,1,Not Distracted
100040,2,Not Distracted
100041,1,Not Distracted
100041,2,Reported as Unknown if Distracted
100042,1,Reported as Unknown if Distracted
100043,1,Not Distracted
100044,1,Not Distracted
100045,1,Not Distracted
100045,2,Not Distracted
100046,1,Not Distracted
100046,2,Not Distracted
100046,3,Not Distracted
100046,4,Not Distracted
100047,1,Not Distracted
100048,1,Reported as Unknown if Distracted
100049,1,Other Distraction [Specify:]
100049,2,Not Distracted
100050,1,Reported as Unknown if Distracted
100050,2,Not Distracted
100051,1,Not Distracted
100052,1,Reported as Unknown if Distracted
100052,2,Not Distracted
100053,1,Reported as Unknown if Distracted
100054,1,Not Distracted
100055,1,Not Distracted
100055,2,Reported as Unknown if Distracted
100056,1,Reported as Unknown if Distracted
100056,2,Not Distracted
100057,1,Not Distracted
100058,1,Not Distracted
100059,1,Not Distracted
100059,2,Not Distracted
100059,3,Not Distracted
100060,1,Not Distracted
100060,2,Not Distracted
100061,1,Not Distracted
100061,2,Not Distracted
100062,1,Not Distracted
100062,2,While Manipulating Mobile Phone
100063,1,Reported as Unknown if Distracted
100064,1,Not Distracted
100065,1,
100066,1,Reported as Unknown if Distracted
100067,1,Not Distracted
100067,2,Not Distracted
100067,3,Not Distracted
100067,4,Not Distracted
100067,5,Reported as Unknown if Distracted
100068,1,Not Distracted
100068,2,"Inattention (Inattentive), Details Unknown"
100069,1,Reported as Unknown if Distracted
100070,1,"Inattention (Inattentive), Details Unknown"
100071,1,Not Distracted
100071,2,Not Distracted
100072,1,Not Distracted
100072,2,Not Distracted
100072,3,Not Distracted
100073,1,
100073,2,Not Distracted
100073,3,Not Distracted
100073,4,Not Distracted
100074,1,Not Distracted
100075,1,Not Distracted
100076,1,Not Distracted
100077,1,Not Distracted
100077,2,"Distracted by Outside Person, Object or Event"
100078,1,Not Distracted
100078,2,Not Distracted
100079,1,Not Distracted
100079,2,Not Distracted
100080,1,Not Distracted
100080,2,Not Distracted
100081,1,Reported as Unknown if Distracted
100082,1,Not Distracted
100082,2,Not Distracted
100083,1,Not Distracted
100083,2,No Driver Present/Unknown if Driver present
100084,1,Not Distracted
100085,1,Not Distracted
100086,1,Reported as Unknown if Distracted
100087,1,Not Distracted
100088,1,Reported as Unknown if Distracted
100089,1,Not Distracted
100089,2,Not Distracted
100090,1,Not Distracted
100090,2,Not Distracted
100091,1,Not Distracted
100092,1,Not Distracted
100092,2,Not Distracted
100093,1,Not Distracted
100094,1,Reported as Unknown if Distracted
100095,1,Not Distracted
100096,1,Reported as Unknown if Distracted
100096,2,Not Distracted
100098,1,Reported as Unknown if Distracted
100098,2,Not Distracted
100099,2,
100100,1,Not Distracted
100101,1,Reported as Unknown if Distracted
100103,1,Reported as Unknown if Distracted
100103,2,Reported as Unknown if Distracted
100104,1,Not Distracted
100105,1,Not Distracted
100105,2,Not Distracted
100106,1,Not Distracted
100107,1,Reported as Unknown if Distracted
100107,2,Not Distracted
100108,1,Reported as Unknown if Distracted
100108,2,Not Distracted
100109,1,Not Distracted
100110,1,Reported as Unknown if Distracted
100110,2,Not Distracted
100111,1,Not Distracted
100112,1,Not Distracted
100113,1,Not Distracted
100114,1,Not Distracted
100114,2,Reported as Unknown if Distracted
100115,1,Reported as Unknown if Distracted
100115,2,Reported as Unknown if Distracted
100116,1,Not Distracted
100116,2,Reported as Unknown if Distracted
100117,1,Reported as Unknown if Distracted
100117,2,Not Distracted
100118,1,Not Distracted
100119,1,Not Distracted
100120,1,Not Distracted
100120,2,Not Distracted
100121,1,Other Distraction [Specify:]
100121,2,Not Distracted
100122,1,Reported as Unknown if Distracted
100123,1,Not Distracted
100124,1,Not Distracted
100124,2,Not Distracted
100125,1,Not Distracted
100125,2,Not Distracted
100126,1,Reported as Unknown if Distracted
100127,1,Not Distracted
100127,2,Not Distracted
100128,1,Not Distracted
100128,2,Not Distracted
100129,1,Not Distracted
100130,1,Not Distracted
100130,2,Not Distracted
100131,1,Not Distracted
100132,1,Not Distracted
100132,2,Not Distracted
100133,1,Not Distracted
100134,1,Not Distracted
100135,1,Not Distracted
100136,1,Not Distracted
100137,1,Not Distracted
100137,2,Not Distracted
100137,3,Not Distracted
100137,4,Not Distracted
100138,1,Not Distracted
100138,2,Not Distracted
100139,1,Not Distracted
100140,1,Not Distracted
100140,2,Reported as Unknown if Distracted
100140,3,Reported as Unknown if Distracted
100141,1,
100142,1,Reported as Unknown if Distracted
100142,2,Not Distracted
100143,1,Not Distracted
100144,1,Reported as Unknown if Distracted
100144,2,Not Distracted
100145,2,Not Distracted
100146,1,Not Distracted
110001,1,Reported as Unknown if Distracted
110002,1,Reported as Unknown if Distracted
110003,1,Reported as Unknown if Distracted
110003,2,Reported as Unknown if Distracted
110004,1,Reported as Unknown if Distracted
110004,3,Not Distracted
110005,1,Not Distracted
110006,1,Reported as Unknown if Distracted
110006,2,Not Distracted
110007,1,Reported as Unknown if Distracted
110007,2,Reported as Unknown if Distracted
110008,1,Not Distracted
110009,1,Reported as Unknown if Distracted
110009,2,Not Distracted
110010,1,Reported as Unknown if Distracted
110011,1,Reported as Unknown if Distracted
110012,1,Reported as Unknown if Distracted
110013,1,Not Distracted
110014,1,Not Distracted
110015,1,Not Distracted
110016,1,Not Distracted
110017,1,Reported as Unknown if Distracted
110017,2,Reported as Unknown if Distracted
110018,1,Reported as Unknown if Distracted
110019,1,Reported as Unknown if Distracted
110019,2,Reported as Unknown if Distracted
110020,1,Not Distracted
110021,1,Reported as Unknown if Distracted
110022,1,Reported as Unknown if Distracted
110023,1,Reported as Unknown if Distracted
110023,2,Reported as Unknown if Distracted
110024,1,Reported as Unknown if Distracted
110025,1,Reported as Unknown if Distracted
110025,2,Reported as Unknown if Distracted
110026,1,"Distracted by Outside Person, Object or Event"
110027,1,Reported as Unknown if Distracted
110027,2,While Manipulating Mobile Phone
110028,1,Reported as Unknown if Distracted
110028,2,Reported as Unknown if Distracted
120001,1,Reported as Unknown if Distracted
120002,1,Not Distracted
120002,2,Not Distracted
120003,1,Not Distracted
120004,1,Reported as Unknown if Distracted
120005,1,Not Distracted
120005,2,Reported as Unknown if Distracted
120006,1,Not Distracted
120006,2,Not Distracted
120006,3,Not Distracted
120007,1,Not Distracted
120008,1,Reported as Unknown if Distracted
120008,2,Not Distracted
120009,1,Not Distracted
120010,1,Other Mobile Phone Related
120011,1,Not Distracted
120011,2,Reported as Unknown if Distracted
120012,1,Not Distracted
120012,2,Not Distracted
120013,1,Not Distracted
120014,1,Not Distracted
120014,2,Not Distracted
120014,3,Not Distracted
120015,1,Not Distracted
120016,1,Not Distracted
120018,1,Not Distracted
120018,2,Not Distracted
120019,1,Not Distracted
120019,2,Not Distracted
120019,3,Not Distracted
120020,1,Not Distracted
120020,2,Not Distracted
120021,1,Not Distracted
120022,1,Reported as Unknown if Distracted
120022,2,Not Distracted
120023,1,Reported as Unknown if Distracted
120023,2,Not Distracted
120024,1,Not Distracted
120024,2,Not Distracted
120025,1,Not Distracted
120026,1,Not Distracted
120027,1,Not Distracted
120027,2,Not Distracted
120028,1,Not Distracted
120029,1,Not Distracted
120030,1,Not Distracted
120030,2,Not Distracted
120031,1,Not Distracted
120031,2,Not Distracted
120032,1,Reported as Unknown if Distracted
120032,2,Not Distracted
120033,1,Reported as Unknown if Distracted
120034,1,"Inattention (Inattentive), Details Unknown"
120035,1,Reported as Unknown if Distracted
120036,1,Not Distracted
120036,2,Not Distracted
120037,1,Not Distracted
120037,2,No Driver Present/Unknown if Driver present
120038,1,Reported as Unknown if Distracted
120038,2,Not Distracted
120038,3,Not Distracted
120039,1,Reported as Unknown if Distracted
120039,2,Not Distracted
120040,1,Not Distracted
120040,2,Not Distracted
120041,1,Not Distracted
120041,2,Not Distracted
120042,1,Not Distracted
120042,2,Not Distracted
120043,1,Reported as Unknown if Distracted
120043,2,Not Distracted
120043,3,Not Distracted
120044,1,Not Distracted
120044,2,No Driver Present/Unknown if Driver present
120045,1,Not Distracted
120045,2,Not Distracted
120046,1,Reported as Unknown if Distracted
120047,1,Not Distracted
120047,2,Not Distracted
120048,1,Not Distracted
120049,1,Reported as Unknown if Distracted
120049,2,Not Distracted
120050,1,"Inattention (Inattentive), Details Unknown"
120051,1,Reported as Unknown if Distracted
120052,1,Not Distracted
120053,1,Not Distracted
120054,1,"Inattention (Inattentive), Details Unknown"
120054,2,Not Distracted
120055,1,Not Distracted
120056,1,Not Distracted
120058,1,Not Distracted
120059,1,Reported as Unknown if Distracted
120059,2,Not Distracted
120060,1,Not Distracted
120060,2,Not Distracted
120061,1,Not Distracted
120062,1,Not Distracted
120063,1,Not Distracted
120064,1,Reported as Unknown if Distracted
120065,1,"Distracted by Outside Person, Object or Event"
120066,1,"Inattention (Inattentive), Details Unknown"
120067,1,Not Distracted
120067,2,Not Distracted
120068,1,Not Distracted
120069,1,Reported as Unknown if Distracted
120069,2,Not Distracted
120070,1,Not Distracted
120071,1,Not Distracted
120072,1,Not Distracted
120073,1,Reported as Unknown if Distracted
120073,2,Not Distracted
120074,1,Not Distracted
120075,1,Not Distracted
120075,2,Not Distracted
120075,3,Not Distracted
120076,1,Not Distracted
120077,1,Not Distracted
120077,2,Not Distracted
120077,3,No Driver Present/Unknown if Driver present
120078,1,Not Distracted
120079,1,Not Distracted
120080,1,Not Distracted
120081,1,Reported as Unknown if Distracted
120081,2,Not Distracted
120081,3,Not Distracted
120081,4,Not Distracted
120082,1,Not Distracted
120082,2,Not Distracted
120083,1,"Inattention (Inattentive), Details Unknown"
120083,2,Not Distracted
120083,3,Not Distracted
120084,1,"Inattention (Inattentive), Details Unknown"
120084,2,Not Distracted
120084,3,Not Distracted
120085,1,Reported as Unknown if Distracted
120086,1,Reported as Unknown if Distracted
120087,1,Not Distracted
120088,1,Not Distracted
120088,2,Not Distracted
120089,1,Not Distracted
120090,1,Not Distracted
120091,1,Not Distracted
120091,2,Not Distracted
120091,3,Not Distracted
120093,1,Not Distracted
120093,2,Not Distracted
120093,3,Not Distracted
120094,1,Not Distracted
120095,1,Not Distracted
120095,2,No Driver Present/Unknown if Driver present
120096,1,Not Distracted
120096,2,Not Distracted
120097,1,Not Distracted
120097,2,Not Distracted
120098,1,Not Distracted
120099,1,Not Distracted
120099,2,Not Distracted
120100,1,Not Distracted
120100,2,Not Distracted
120101,1,Reported as Unknown if Distracted
120101,2,Not Distracted
120101,3,Reported as Unknown if Distracted
120102,1,Not Distracted
120103,1,Not Distracted
120104,1,Not Distracted
120105,1,Not Distracted
120106,1,Reported as Unknown if Distracted
120107,1,"Inattention (Inattentive), Details Unknown"
120108,1,Not Distracted
120110,1,Reported as Unknown if Distracted
120110,2,Not Distracted
120111,1,Reported as Unknown if Distracted
120112,1,Not Distracted
120113,1,Not Distracted
120114,1,Reported as Unknown if Distracted
120114,2,Not Distracted
120114,3,No Driver Present/Unknown if Driver present
120114,4,No Driver Present/Unknown if Driver present
120114,5,No Driver Present/Unknown if Driver present
120114,6,No Driver Present/Unknown if Driver present
120114,7,No Driver Present/Unknown if Driver present
120115,1,Not Distracted
120116,1,Reported as Unknown if Distracted
120116,2,Not Distracted
120117,1,Not Distracted
120117,2,Not Distracted
120118,1,Not Distracted
120119,1,Not Distracted
120120,1,Reported as Unknown if Distracted
120121,1,Reported as Unknown if Distracted
120122,1,Not Distracted
120123,1,Not Distracted
120124,1,Not Distracted
120124,2,Not Distracted
120124,3,Not Distracted
120124,4,Not Distracted
120125,1,Reported as Unknown if Distracted
120126,1,Not Distracted
120126,2,Reported as Unknown if Distracted
120126,3,Not Distracted
120126,4,Not Distracted
120127,1,Not Distracted
120128,1,Reported as Unknown if Distracted
120129,1,Reported as Unknown if Distracted
120129,2,Not Distracted
120130,1,Not Distracted
120130,2,Not Distracted
120131,1,Not Distracted
120131,2,Not Distracted
120131,3,Not Distracted
120132,1,Reported as Unknown if Distracted
120132,2,Reported as Unknown if Distracted
120133,1,Reported as Unknown if Distracted
120133,2,Not Distracted
120134,1,Reported as Unknown if Distracted
120135,1,Not Distracted
120136,1,Not Distracted
120136,2,Reported as Unknown if Distracted
120137,1,"Inattention (Inattentive), Details Unknown"
120137,2,Reported as Unknown if Distracted
120138,1,Not Distracted
120139,1,Not Distracted
120139,2,Not Distracted
120140,1,Not Distracted
120141,1,Reported as Unknown if Distracted
120142,1,Not Distracted
120142,2,Not Distracted
120143,1,Not Distracted
120144,1,Reported as Unknown if Distracted
120145,1,Not Distracted
120147,1,Not Distracted
120147,2,Reported as Unknown if Distracted
120148,1,Reported as Unknown if Distracted
120148,2,Not Distracted
120149,1,Not Distracted
120150,1,Not Distracted
120150,2,Not Distracted
120151,1,Reported as Unknown if Distracted
120151,2,Not Distracted
120152,1,Not Distracted
120153,1,Not Distracted
120154,1,"Inattention (Inattentive), Details Unknown"
120155,1,Not Distracted
120155,2,Not Distracted
120156,1,Not Distracted
120156,2,Not Distracted
120157,1,Not Distracted
120158,1,Reported as Unknown if Distracted
120159,1,No Driver Present/Unknown if Driver present
120159,2,Not Distracted
120159,3,Reported as Unknown if Distracted
120160,1,Reported as Unknown if Distracted
120160,2,Not Distracted
120161,1,Reported as Unknown if Distracted
120161,2,Not Distracted
120162,1,Reported as Unknown if Distracted
120163,1,Reported as Unknown if Distracted
120163,2,Not Distracted
120164,1,Not Distracted
120164,2,Reported as Unknown if Distracted
120165,1,Reported as Unknown if Distracted
120166,1,Not Distracted
120167,1,Reported as Unknown if Distracted
120167,2,Not Distracted
120168,1,Reported as Unknown if Distracted
120168,2,Not Distracted
120169,1,Reported as Unknown if Distracted
120169,2,Not Distracted
120170,1,Reported as Unknown if Distracted
120170,2,Not Distracted
120171,1,Reported as Unknown if Distracted
120172,1,Not Distracted
120173,1,Not Distracted
120174,1,Reported as Unknown if Distracted
120175,1,"Inattention (Inattentive), Details Unknown"
120176,1,Not Distracted
120176,2,Not Distracted
120177,1,Reported as Unknown if Distracted
120178,1,Reported as Unknown if Distracted
120178,2,Reported as Unknown if Distracted
120179,1,Reported as Unknown if Distracted
120180,1,Reported as Unknown if Distracted
120181,1,Reported as Unknown if Distracted
120181,2,Reported as Unknown if Distracted
120181,3,Not Distracted
120182,1,Not Distracted
120183,1,Not Distracted
120184,1,Reported as Unknown if Distracted
120184,2,Not Distracted
120184,3,Not Distracted
120185,1,Reported as Unknown if Distracted
120186,1,Reported as Unknown if Distracted
120187,1,Reported as Unknown if Distracted
120188,1,Reported as Unknown if Distracted
120189,1,Reported as Unknown if Distracted
120190,1,Not Distracted
120191,1,Not Distracted
120192,1,Reported as Unknown if Distracted
120192,2,Not Distracted
120193,1,Reported as Unknown if Distracted
120193,2,Reported as Unknown if Distracted
120194,1,Not Distracted
120195,1,Reported as Unknown if Distracted
120195,2,Not Distracted
120196,1,"Inattention (Inattentive), Details Unknown"
120196,2,Reported as Unknown if Distracted
120197,1,Not Distracted
120197,2,Not Distracted
120198,1,Reported as Unknown if Distracted
120198,2,Not Distracted
120199,1,Not Distracted
120200,1,Not Distracted
120201,1,Not Distracted
120201,2,Not Distracted
120202,1,Reported as Unknown if Distracted
120203,1,Reported as Unknown if Distracted
120203,2,Not Distracted
120204,1,Not Distracted
120204,2,Not Distracted
120204,3,Not Distracted
120205,1,Not Distracted
120205,2,Not Distracted
120207,1,Other Mobile Phone Related
120207,2,Not Distracted
120208,1,No Driver Present/Unknown if Driver present
120208,2,Not Distracted
120209,1,Reported as Unknown if Distracted
120209,2,Not Distracted
120209,3,Not Distracted
120209,4,Not Distracted
120210,1,"Inattention (Inattentive), Details Unknown"
120210,2,Not Distracted
120211,1,Not Distracted
120212,1,Reported as Unknown if Distracted
120213,1,Reported as Unknown if Distracted
120213,2,Not Distracted
120214,1,"Inattention (Inattentive), Details Unknown"
120215,1,Reported as Unknown if Distracted
120216,1,Not Distracted
120217,1,Not Distracted
120217,2,Reported as Unknown if Distracted
120218,1,Reported as Unknown if Distracted
120219,1,Not Distracted
120219,2,Not Distracted
120220,1,"Inattention (Inattentive), Details Unknown"
120220,2,Not Distracted
120221,1,Not Distracted
120222,1,Reported as Unknown if Distracted
120223,1,Reported as Unknown if Distracted
120224,1,"Inattention (Inattentive), Details Unknown"
120224,2,Not Distracted
120224,3,Not Distracted
120225,1,Reported as Unknown if Distracted
120226,1,Not Distracted
120226,2,Not Distracted
120227,1,Not Distracted
120227,2,Not Distracted
120227,3,Not Distracted
120228,1,Not Distracted
120230,1,Not Distracted
120231,1,Reported as Unknown if Distracted
120231,2,Not Distracted
120231,3,Not Distracted
120232,1,Not Distracted
120232,2,Not Distracted
120233,1,Not Distracted
120235,1,Reported as Unknown if Distracted
120236,1,Not Distracted
120237,1,Reported as Unknown if Distracted
120237,2,Reported as Unknown if Distracted
120238,1,Not Distracted
120239,1,Not Distracted
120240,1,Not Distracted
120240,2,Not Distracted
120241,1,Reported as Unknown if Distracted
120242,1,"Inattention (Inattentive), Details Unknown"
120242,2,Not Distracted
120244,1,Not Distracted
120244,2,Not Distracted
120246,1,Not Distracted
120247,1,Reported as Unknown if Distracted
120248,1,Reported as Unknown if Distracted
120249,1,Not Distracted
120249,2,Not Distracted
120250,1,Not Distracted
120251,1,Reported as Unknown if Distracted
120251,2,Not Distracted
120251,3,Not Distracted
120252,1,Not Distracted
120252,2,Not Distracted
120254,1,Reported as Unknown if Distracted
120254,2,Not Distracted
120254,3,Not Distracted
120255,1,Not Distracted
120256,1,Reported as Unknown if Distracted
120256,2,Not Distracted
120256,3,Not Distracted
120259,1,Not Distracted
120259,2,Not Distracted
120260,1,Reported as Unknown if Distracted
120260,2,Not Distracted
120261,1,Reported as Unknown if Distracted
120261,2,Not Distracted
120261,3,Not Distracted
120261,4,Not Distracted
120262,1,Not Distracted
120263,1,Not Distracted
120264,1,Reported as Unknown if Distracted
120264,2,Reported as Unknown if Distracted
120265,1,Not Distracted
120265,2,Not Distracted
120266,1,Reported as Unknown if Distracted
120266,2,Not Distracted
120267,1,Not Distracted
120268,1,Not Distracted
120268,2,Not Distracted
120269,1,Not Distracted
120269,2,Not Distracted
120271,1,Not Distracted
120272,1,Reported as Unknown if Distracted
120272,2,Not Distracted
120273,1,Reported as Unknown if Distracted
120273,2,Not Distracted
120274,1,Reported as Unknown if Distracted
120275,1,Not Distracted
120276,1,Not Distracted
120277,1,Reported as Unknown if Distracted
120277,2,Reported as Unknown if Distracted
120278,1,Not Distracted
120278,2,Not Distracted
120278,3,Not Distracted
120279,1,Reported as Unknown if Distracted
120279,2,Not Distracted
120280,1,Reported as Unknown if Distracted
120281,1,Not Distracted
120281,2,Not Distracted
120282,1,Not Distracted
120282,2,Not Distracted
120284,1,Reported as Unknown if Distracted
120285,1,Reported as Unknown if Distracted
120286,1,Not Distracted
120287,1,Not Distracted
120287,2,Not Distracted
120287,3,Not Distracted
120288,1,Not Distracted
120288,2,Not Distracted
120289,1,Not Distracted
120289,2,Not Distracted
120290,1,Not Distracted
120291,1,Not Distracted
120291,2,Not Distracted
120292,1,Not Distracted
120293,1,Not Distracted
120294,1,Not Distracted
120295,1,Not Distracted
120295,2,Not Distracted
120295,3,Not Distracted
120295,4,Not Distracted
120295,5,Not Distracted
120296,1,Reported as Unknown if Distracted
120297,1,Reported as Unknown if Distracted
120298,1,Not Distracted
120299,1,Not Distracted
120299,2,Reported as Unknown if Distracted
120301,1,Not Distracted
120302,1,Reported as Unknown if Distracted
120303,1,Reported as Unknown if Distracted
120303,2,Not Distracted
120303,3,Not Distracted
120304,1,Not Distracted
120304,2,Not Distracted
120305,1,Not Distracted
120306,1,Not Distracted
120306,2,Reported as Unknown if Distracted
120306,3,Not Distracted
120307,1,Not Distracted
120307,2,Reported as Unknown if Distracted
120308,1,Not Distracted
120309,1,Not Distracted
120310,1,Reported as Unknown if Distracted
120311,1,"Inattention (Inattentive), Details Unknown"
120311,2,Not Distracted
120311,3,Not Distracted
120311,4,Not Distracted
120311,5,Not Distracted
120312,1,Not Distracted
120312,2,Not Distracted
120313,1,Not Distracted
120313,2,Reported as Unknown if Distracted
120314,1,Reported as Unknown if Distracted
120315,1,Not Distracted
120316,1,
120317,1,Not Distracted
120318,1,"Inattention (Inattentive), Details Unknown"
120318,2,Not Distracted
120318,3,Not Distracted
120318,4,Not Distracted
120319,1,Not Distracted
120319,2,Not Distracted
120320,1,Reported as Unknown if Distracted
120320,2,Not Distracted
120320,3,Not Distracted
120320,4,Not Distracted
120321,1,Reported as Unknown if Distracted
120322,1,Not Distracted
120322,2,Not Distracted
120323,1,"Inattention (Inattentive), Details Unknown"
120323,2,Not Distracted
120323,3,"Inattention (Inattentive), Details Unknown"
120324,1,Reported as Unknown if Distracted
120324,2,Not Distracted
120324,3,Not Distracted
120325,1,Reported as Unknown if Distracted
120325,2,Not Distracted
120325,3,Not Distracted
120326,1,Reported as Unknown if Distracted
120326,2,Not Distracted
120327,1,Not Distracted
120327,2,Not Distracted
120327,3,Reported as Unknown if Distracted
120327,4,Not Distracted
120327,5,Reported as Unknown if Distracted
120328,1,Reported as Unknown if Distracted
120329,1,Not Distracted
120330,1,"Inattention (Inattentive), Details Unknown"
120331,1,Not Distracted
120331,2,Not Distracted
120332,1,Not Distracted
120333,1,Not Distracted
120334,1,Not Distracted
120334,2,Not Distracted
120334,3,Not Distracted
120334,4,Not Distracted
120335,1,Not Distracted
120336,1,Not Distracted
120336,2,Not Distracted
120337,1,Not Distracted
120338,1,Reported as Unknown if Distracted
120339,1,Not Distracted
120340,1,Not Distracted
120341,1,Not Distracted
120343,1,"Inattention (Inattentive), Details Unknown"
120343,2,Not Distracted
120344,1,Not Distracted
120344,2,No Driver Present/Unknown if Driver present
120344,3,Reported as Unknown if Distracted
120344,4,Reported as Unknown if Distracted
120344,5,Reported as Unknown if Distracted
120345,1,Not Distracted
120345,2,Not Distracted
120346,1,Reported as Unknown if Distracted
120346,2,Not Distracted
120347,1,Not Distracted
120347,2,Not Distracted
120348,1,Not Distracted
120349,1,Not Distracted
120349,2,Not Distracted
120350,1,"Inattention (Inattentive), Details Unknown"
120350,4,Not Distracted
120351,1,Not Distracted
120352,1,Not Distracted
120353,1,Reported as Unknown if Distracted
120353,2,Reported as Unknown if Distracted
120354,1,Not Distracted
120354,2,Not Distracted
120356,1,Not Distracted
120357,1,Reported as Unknown if Distracted
120358,1,Not Distracted
120358,2,Not Distracted
120359,1,Not Distracted
120360,1,Not Distracted
120361,1,Reported as Unknown if Distracted
120362,1,Not Distracted
120362,2,Not Distracted
120364,1,Not Distracted
120365,1,Reported as Unknown if Distracted
120365,2,Not Distracted
120366,1,Not Distracted
120367,1,Not Distracted
120367,2,Not Distracted
120368,1,Reported as Unknown if Distracted
120368,2,Not Distracted
120369,1,Not Distracted
120370,1,Not Distracted
120371,1,Reported as Unknown if Distracted
120372,1,Not Distracted
120373,1,"Inattention (Inattentive), Details Unknown"
120373,2,Not Distracted
120374,1,Not Distracted
120376,1,Not Distracted
120376,2,Not Distracted
120377,1,Reported as Unknown if Distracted
120377,2,Not Distracted
120378,1,Not Distracted
120379,1,Reported as Unknown if Distracted
120380,1,Reported as Unknown if Distracted
120381,1,Not Distracted
120382,1,Not Distracted
120383,1,Not Distracted
120384,1,Reported as Unknown if Distracted
120385,1,Not Distracted
120385,2,Not Distracted
120385,3,Not Distracted
120386,1,"Inattention (Inattentive), Details Unknown"
120386,2,Reported as Unknown if Distracted
120387,1,"Distraction (Distracted), Details Unknown"
120387,2,Reported as Unknown if Distracted
120388,1,Reported as Unknown if Distracted
120388,2,Reported as Unknown if Distracted
120389,1,Reported as Unknown if Distracted
120389,2,Reported as Unknown if Distracted
120390,1,Reported as Unknown if Distracted
120390,2,Not Distracted
120391,1,Reported as Unknown if Distracted
120392,1,Reported as Unknown if Distracted
120393,1,Not Distracted
120394,1,Reported as Unknown if Distracted
120394,2,Reported as Unknown if Distracted
120395,1,Other Mobile Phone Related
120395,2,Not Distracted
120396,1,Reported as Unknown if Distracted
120397,1,While Using or Reaching for Device/Object Brought into Vehicle
120397,2,Not Distracted
120398,1,Not Distracted
120398,2,No Driver Present/Unknown if Driver present
120398,3,Not Distracted
120399,1,Not Distracted
120400,1,Reported as Unknown if Distracted
120400,2,Not Distracted
120401,1,Not Distracted
120402,1,Reported as Unknown if Distracted
120402,2,Not Distracted
120402,3,Not Distracted
120404,1,Reported as Unknown if Distracted
120404,2,Not Distracted
120406,1,Not Distracted
120407,1,Reported as Unknown if Distracted
120408,1,Reported as Unknown if Distracted
120408,2,Reported as Unknown if Distracted
120409,1,Reported as Unknown if Distracted
120410,1,Reported as Unknown if Distracted
120410,2,Not Distracted
120411,1,Not Distracted
120411,2,Reported as Unknown if Distracted
120412,1,Not Distracted
120412,2,Not Distracted
120413,1,Reported as Unknown if Distracted
120414,1,Not Distracted
120414,2,Not Distracted
120415,1,Not Distracted
120415,2,Not Distracted
120416,1,Reported as Unknown if Distracted
120417,1,Not Distracted
120417,2,Not Distracted
120417,3,Not Distracted
120418,1,Reported as Unknown if Distracted
120419,1,Reported as Unknown if Distracted
120420,1,Not Distracted
120421,1,Reported as Unknown if Distracted
120421,2,Reported as Unknown if Distracted
120422,1,Not Distracted
120423,1,Reported as Unknown if Distracted
120424,1,Reported as Unknown if Distracted
120425,1,Not Distracted
120426,1,Not Distracted
120427,1,Not Distracted
120427,2,Not Distracted
120427,3,Not Distracted
