ST_CASE,VEH_NO,DRIVER_IMPAIRMENT
10164,1,
10164,2,
10165,1,None/Apparently Normal
10165,2,None/Apparently Normal
10166,1,Asleep or Fatigued
10167,1,"Ill, Blackout"
10168,1,
10169,1,None/Apparently Normal
10170,1,
10170,2,
10171,1,None/Apparently Normal
10172,1,None/Apparently Normal
10173,1,"Ill, Blackout"
10174,1,
10174,2,None/Apparently Normal
10175,1,Asleep or Fatigued
10176,1,None/Apparently Normal
10176,2,None/Apparently Normal
10177,1,None/Apparently Normal
10177,2,None/Apparently Normal
10178,1,None/Apparently Normal
10178,2,None/Apparently Normal
10179,1,None/Apparently Normal
10180,1,None/Apparently Normal
10181,1,None/Apparently Normal
10181,2,None/Apparently Normal
10181,3,None/Apparently Normal
10182,1,
10182,2,None/Apparently Normal
10183,1,Physical Impairment - No Details
10184,1,
10185,1,"Under the Influence of Alcohol, Drugs or Medication"
10186,1,None/Apparently Normal
10186,2,None/Apparently Normal
10187,1,
10187,2,
10188,1,
10188,2,None/Apparently Normal
10189,1,
10189,2,None/Apparently Normal
10189,3,None/Apparently Normal
10189,4,None/Apparently Normal
10190,1,
10190,2,None/Apparently Normal
10191,1,None/Apparently Normal
10192,1,
10192,2,None/Apparently Normal
10193,1,None/Apparently Normal
10193,2,
10194,1,
10194,2,None/Apparently Normal
10195,1,None/Apparently Normal
10195,2,None/Apparently Normal
10196,1,None/Apparently Normal
10197,1,None/Apparently Normal
10198,1,
10199,1,
10199,2,None/Apparently Normal
10200,1,None/Apparently Normal
10201,1,
10202,1,
10203,1,"Ill, Blackout"
10204,1,
10205,1,None/Apparently Normal
10205,2,
10206,1,
10207,1,None/Apparently Normal
10207,2,None/Apparently Normal
10208,1,None/Apparently Normal
10209,1,Asleep or Fatigued
10210,1,
10211,1,None/Apparently Normal
10211,2,None/Apparently Normal
10212,1,None/Apparently Normal
10213,1,"Under the Influence of Alcohol, Drugs or Medication"
10214,1,
10215,1,None/Apparently Normal
10215,2,None/Apparently Normal
10216,1,
10216,2,
10217,1,None/Apparently Normal
10218,1,None/Apparently Normal
10219,1,
10219,2,None/Apparently Normal
10220,1,None/Apparently Normal
10221,1,
10221,2,None/Apparently Normal
10221,3,None/Apparently Normal
10222,1,
10222,2,None/Apparently Normal
10223,1,
10223,2,
10224,1,None/Apparently Normal
10225,1,None/Apparently Normal
10225,2,None/Apparently Normal
10226,1,
10227,1,None/Apparently Normal
10228,1,"Ill, Blackout"
10229,1,None/Apparently Normal
10230,1,None/Apparently Normal
10231,1,None/Apparently Normal
10231,2,None/Apparently Normal
10232,1,
10233,1,
10234,1,Physical Impairment - No Details
10235,1,Physical Impairment - No Details
10236,1,
10237,1,None/Apparently Normal
10237,2,None/Apparently Normal
10237,3,None/Apparently Normal
10238,1,
10238,2,
10239,1,
10239,2,None/Apparently Normal
10239,3,None/Apparently Normal
10240,1,"Under the Influence of Alcohol, Drugs or Medication"
10240,2,None/Apparently Normal
10241,1,None/Apparently Normal
10241,2,None/Apparently Normal
10242,1,
10242,2,
10243,1,None/Apparently Normal
10244,1,None/Apparently Normal
10245,1,"Under the Influence of Alcohol, Drugs or Medication"
10246,1,
10246,2,None/Apparently Normal
10246,3,None/Apparently Normal
10247,1,"Under the Influence of Alcohol, Drugs or Medication"
10248,1,
10248,2,None/Apparently Normal
10249,1,"Under the Influence of Alcohol, Drugs or Medication"
10250,1,
10251,1,None/Apparently Normal
10252,1,
10253,1,None/Apparently Normal
10254,1,"Emotional (depressed, angry, disturbed, etc.)"
10255,1,None/Apparently Normal
10255,2,None/Apparently Normal
10256,1,
10256,2,
10256,3,
10256,4,
10256,5,
10257,1,None/Apparently Normal
10257,2,None/Apparently Normal
10258,1,None/Apparently Normal
10258,2,None/Apparently Normal
10259,1,None/Apparently Normal
10259,2,None/Apparently Normal
10259,3,None/Apparently Normal
10260,1,None/Apparently Normal
10260,2,None/Apparently Normal
10261,1,None/Apparently Normal
10262,1,None/Apparently Normal
10262,2,None/Apparently Normal
10263,1,None/Apparently Normal
10263,2,None/Apparently Normal
10264,1,"Under the Influence of Alcohol, Drugs or Medication"
10264,2,
10265,1,"Under the Influence of Alcohol, Drugs or Medication"
10265,2,None/Apparently Normal
10266,1,Asleep or Fatigued
10266,1,"Under the Influence of Alcohol, Drugs or Medication"
10267,1,None/Apparently Normal
10268,1,None/Apparently Normal
10268,2,None/Apparently Normal
10269,1,
10269,2,None/Apparently Normal
10270,1,
10271,1,Asleep or Fatigued
10272,1,None/Apparently Normal
10273,1,
10274,1,None/Apparently Normal
10275,1,None/Apparently Normal
10276,1,
10276,2,None/Apparently Normal
10277,1,
10278,1,None/Apparently Normal
10278,2,None/Apparently Normal
10279,1,None/Apparently Normal
10279,2,None/Apparently Normal
10280,1,
10280,2,None/Apparently Normal
10282,1,"Emotional (depressed, angry, disturbed, etc.)"
10282,1,"Under the Influence of Alcohol, Drugs or Medication"
10283,1,None/Apparently Normal
10283,2,None/Apparently Normal
10284,1,"Under the Influence of Alcohol, Drugs or Medication"
10285,1,"Under the Influence of Alcohol, Drugs or Medication"
10286,1,None/Apparently Normal
10286,2,None/Apparently Normal
10287,1,Asleep or Fatigued
10288,1,None/Apparently Normal
10288,2,None/Apparently Normal
10289,1,
10290,1,None/Apparently Normal
10290,2,None/Apparently Normal
10291,1,"Under the Influence of Alcohol, Drugs or Medication"
10291,2,
10292,1,
10292,2,
10293,1,None/Apparently Normal
10293,2,
10294,1,
10295,1,None/Apparently Normal
10296,1,None/Apparently Normal
10297,1,None/Apparently Normal
10297,2,
10298,1,
10298,2,None/Apparently Normal
10299,1,"Under the Influence of Alcohol, Drugs or Medication"
10300,1,
10300,2,
10301,1,None/Apparently Normal
10302,1,None/Apparently Normal
10303,1,None/Apparently Normal
10304,1,"Under the Influence of Alcohol, Drugs or Medication"
10305,1,
10306,1,
10306,2,None/Apparently Normal
10306,3,None/Apparently Normal
10307,1,None/Apparently Normal
10307,2,None/Apparently Normal
10308,1,"Under the Influence of Alcohol, Drugs or Medication"
10309,1,"Under the Influence of Alcohol, Drugs or Medication"
10310,1,
10310,2,None/Apparently Normal
10311,1,
10312,1,
10312,2,None/Apparently Normal
10313,1,"Under the Influence of Alcohol, Drugs or Medication"
10313,2,None/Apparently Normal
10314,1,
10315,1,None/Apparently Normal
10316,1,None/Apparently Normal
10316,2,None/Apparently Normal
10317,1,"Ill, Blackout"
10318,1,
10319,1,
10320,1,None/Apparently Normal
10321,1,
10321,2,None/Apparently Normal
10321,3,None/Apparently Normal
10321,4,None/Apparently Normal
10322,1,
10323,1,None/Apparently Normal
10323,2,
10324,1,
10324,2,None/Apparently Normal
10324,3,None/Apparently Normal
10324,4,None/Apparently Normal
10324,5,None/Apparently Normal
10324,6,None/Apparently Normal
10325,1,None/Apparently Normal
10326,1,
10326,2,None/Apparently Normal
10327,1,None/Apparently Normal
10327,2,None/Apparently Normal
10328,1,None/Apparently Normal
10329,1,
10330,1,
10331,1,"Under the Influence of Alcohol, Drugs or Medication"
10331,2,None/Apparently Normal
10332,1,
10332,2,None/Apparently Normal
10333,1,
10333,2,None/Apparently Normal
10334,1,
10334,2,
10335,1,None/Apparently Normal
10336,1,None/Apparently Normal
10337,1,"Under the Influence of Alcohol, Drugs or Medication"
10338,1,
10339,1,"Under the Influence of Alcohol, Drugs or Medication"
10340,1,None/Apparently Normal
10340,2,None/Apparently Normal
10341,1,None/Apparently Normal
10341,2,None/Apparently Normal
10341,3,None/Apparently Normal
10342,1,"Under the Influence of Alcohol, Drugs or Medication"
10342,2,None/Apparently Normal
10343,1,None/Apparently Normal
10343,2,None/Apparently Normal
10344,1,
10345,1,None/Apparently Normal
10345,2,None/Apparently Normal
10346,1,
10346,2,None/Apparently Normal
10346,3,None/Apparently Normal
10347,1,
10347,2,None/Apparently Normal
10348,1,
10348,2,None/Apparently Normal
10349,1,None/Apparently Normal
10350,1,"Under the Influence of Alcohol, Drugs or Medication"
10350,2,None/Apparently Normal
10351,1,
10351,2,None/Apparently Normal
10352,1,
10353,1,
10354,1,
10354,2,
10354,3,None/Apparently Normal
10355,1,None/Apparently Normal
10355,2,None/Apparently Normal
10356,1,
10357,1,"Under the Influence of Alcohol, Drugs or Medication"
10358,1,None/Apparently Normal
10359,1,None/Apparently Normal
10360,1,
10361,1,
10361,2,None/Apparently Normal
10362,1,None/Apparently Normal
10363,1,None/Apparently Normal
10364,1,"Under the Influence of Alcohol, Drugs or Medication"
10365,1,"Emotional (depressed, angry, disturbed, etc.)"
10365,2,None/Apparently Normal
10365,3,None/Apparently Normal
10366,1,
10367,1,None/Apparently Normal
10368,1,
10369,1,None/Apparently Normal
10370,1,"Ill, Blackout"
10371,1,"Under the Influence of Alcohol, Drugs or Medication"
10371,2,None/Apparently Normal
10372,1,None/Apparently Normal
10373,1,None/Apparently Normal
10373,2,None/Apparently Normal
10374,1,
10374,2,None/Apparently Normal
10374,3,None/Apparently Normal
10374,4,None/Apparently Normal
10375,1,"Ill, Blackout"
10376,1,
10376,2,None/Apparently Normal
10376,3,None/Apparently Normal
10377,1,None/Apparently Normal
10377,2,None/Apparently Normal
10377,3,None/Apparently Normal
10378,1,
10379,1,None/Apparently Normal
10379,2,None/Apparently Normal
10380,1,None/Apparently Normal
10381,1,
10382,1,
10382,2,None/Apparently Normal
10383,1,
10384,1,Deaf/Hard of Hearing
10385,1,None/Apparently Normal
10386,1,None/Apparently Normal
10386,2,None/Apparently Normal
10386,3,None/Apparently Normal
10387,1,
10388,1,None/Apparently Normal
10389,1,
10390,1,
10391,1,
10392,1,
10393,1,None/Apparently Normal
10393,2,None/Apparently Normal
10393,3,None/Apparently Normal
10394,1,"Under the Influence of Alcohol, Drugs or Medication"
10395,1,
10396,1,None/Apparently Normal
10397,1,
10398,1,None/Apparently Normal
10398,2,None/Apparently Normal
10399,1,None/Apparently Normal
10399,2,None/Apparently Normal
10400,1,Asleep or Fatigued
10401,1,None/Apparently Normal
10402,1,None/Apparently Normal
10403,1,
10404,1,None/Apparently Normal
10404,2,None/Apparently Normal
10405,1,
10406,1,Asleep or Fatigued
10407,1,
10407,2,None/Apparently Normal
10408,1,None/Apparently Normal
10408,2,None/Apparently Normal
10408,3,None/Apparently Normal
10410,1,None/Apparently Normal
10412,1,None/Apparently Normal
10413,1,"Under the Influence of Alcohol, Drugs or Medication"
10414,1,None/Apparently Normal
10415,1,Physical Impairment - No Details
10416,1,
10416,2,None/Apparently Normal
10417,1,None/Apparently Normal
10418,1,
10419,1,None/Apparently Normal
10420,1,None/Apparently Normal
10420,2,
10421,1,
10422,1,
10422,2,None/Apparently Normal
10422,3,None/Apparently Normal
10423,1,"Under the Influence of Alcohol, Drugs or Medication"
10424,1,
10424,2,None/Apparently Normal
10425,1,None/Apparently Normal
10426,1,"Under the Influence of Alcohol, Drugs or Medication"
10426,2,None/Apparently Normal
10427,1,
10428,1,
10429,1,
10429,2,None/Apparently Normal
10429,3,None/Apparently Normal
10429,4,None/Apparently Normal
10430,1,"Under the Influence of Alcohol, Drugs or Medication"
10430,2,None/Apparently Normal
10431,1,None/Apparently Normal
10431,2,None/Apparently Normal
10432,1,None/Apparently Normal
10432,2,None/Apparently Normal
10433,1,
10433,2,
10434,1,
10435,1,
10435,2,None/Apparently Normal
10436,1,Physical Impairment - No Details
10436,2,None/Apparently Normal
10436,3,None/Apparently Normal
10437,1,
10438,1,
10438,2,
10438,3,None/Apparently Normal
10439,1,None/Apparently Normal
10440,1,
10441,1,"Under the Influence of Alcohol, Drugs or Medication"
10442,1,
10442,2,None/Apparently Normal
10443,1,"Under the Influence of Alcohol, Drugs or Medication"
10444,1,
10445,1,
10446,1,None/Apparently Normal
10447,1,None/Apparently Normal
10447,2,None/Apparently Normal
10448,1,
10449,1,
10449,2,
10450,1,None/Apparently Normal
10451,1,None/Apparently Normal
10451,2,None/Apparently Normal
10452,1,
10453,1,
10454,1,"Under the Influence of Alcohol, Drugs or Medication"
10455,1,None/Apparently Normal
10456,1,None/Apparently Normal
10457,1,
10457,2,None/Apparently Normal
10458,1,
10458,2,None/Apparently Normal
10459,1,None/Apparently Normal
10460,1,None/Apparently Normal
10460,2,None/Apparently Normal
10461,1,None/Apparently Normal
10462,1,None/Apparently Normal
10462,2,None/Apparently Normal
10463,1,None/Apparently Normal
10464,1,
10465,1,None/Apparently Normal
10466,1,None/Apparently Normal
10467,1,Physical Impairment - No Details
10467,2,None/Apparently Normal
10467,3,None/Apparently Normal
10468,1,None/Apparently Normal
10469,1,
10470,1,None/Apparently Normal
10471,1,
10471,2,None/Apparently Normal
10472,1,
10473,1,None/Apparently Normal
10473,2,None/Apparently Normal
10474,1,
10475,1,"Ill, Blackout"
10476,1,
10477,1,
10478,1,
10478,2,
10479,1,"Ill, Blackout"
10480,1,None/Apparently Normal
10481,1,None/Apparently Normal
10481,2,None/Apparently Normal
10481,3,None/Apparently Normal
10482,1,None/Apparently Normal
10482,2,
10482,3,None/Apparently Normal
10482,4,None/Apparently Normal
10483,1,None/Apparently Normal
10483,2,None/Apparently Normal
10484,1,
10485,1,
10486,1,None/Apparently Normal
10487,1,None/Apparently Normal
10487,2,"Under the Influence of Alcohol, Drugs or Medication"
10488,1,
10489,1,
10489,2,None/Apparently Normal
10490,1,None/Apparently Normal
10490,2,None/Apparently Normal
10490,3,None/Apparently Normal
10490,4,None/Apparently Normal
10490,5,None/Apparently Normal
10491,1,"Under the Influence of Alcohol, Drugs or Medication"
10492,1,
10492,2,None/Apparently Normal
10493,1,"Under the Influence of Alcohol, Drugs or Medication"
10494,1,None/Apparently Normal
10495,1,None/Apparently Normal
10496,1,
10496,2,
10497,1,
10497,2,None/Apparently Normal
10498,1,None/Apparently Normal
10498,2,
10498,3,None/Apparently Normal
10499,1,Asleep or Fatigued
10500,1,None/Apparently Normal
10500,2,None/Apparently Normal
10501,1,"Under the Influence of Alcohol, Drugs or Medication"
10502,1,
10502,2,
10502,3,None/Apparently Normal
10503,1,None/Apparently Normal
10504,1,
10505,1,
10506,1,None/Apparently Normal
10507,1,None/Apparently Normal
10508,1,
10509,1,None/Apparently Normal
10510,1,None/Apparently Normal
10511,1,None/Apparently Normal
10512,1,"Ill, Blackout"
10513,1,None/Apparently Normal
10513,2,None/Apparently Normal
10514,1,
10515,1,
10516,1,None/Apparently Normal
10517,1,"Under the Influence of Alcohol, Drugs or Medication"
10518,1,"Under the Influence of Alcohol, Drugs or Medication"
10519,1,None/Apparently Normal
10521,1,None/Apparently Normal
10521,2,None/Apparently Normal
10522,1,None/Apparently Normal
10522,2,None/Apparently Normal
10523,1,None/Apparently Normal
10524,1,
10524,2,None/Apparently Normal
10525,1,None/Apparently Normal
10525,2,None/Apparently Normal
10526,1,None/Apparently Normal
10526,2,None/Apparently Normal
10527,1,None/Apparently Normal
10527,2,None/Apparently Normal
10528,1,None/Apparently Normal
10529,1,
10530,1,None/Apparently Normal
10530,2,None/Apparently Normal
10531,1,None/Apparently Normal
10531,2,None/Apparently Normal
10532,1,None/Apparently Normal
10532,2,None/Apparently Normal
10532,3,None/Apparently Normal
10533,1,None/Apparently Normal
10533,2,None/Apparently Normal
10534,1,
10534,2,None/Apparently Normal
10535,1,None/Apparently Normal
10536,1,"Under the Influence of Alcohol, Drugs or Medication"
10536,2,None/Apparently Normal
10536,3,None/Apparently Normal
10537,1,None/Apparently Normal
10537,2,
10538,1,None/Apparently Normal
10538,2,
10539,1,None/Apparently Normal
10540,1,None/Apparently Normal
10541,1,Asleep or Fatigued
10542,1,
10543,1,"Under the Influence of Alcohol, Drugs or Medication"
10544,1,None/Apparently Normal
10545,1,
10546,1,None/Apparently Normal
10547,1,None/Apparently Normal
10548,1,Asleep or Fatigued
10549,1,None/Apparently Normal
10550,1,
10551,1,
10552,1,
10552,2,None/Apparently Normal
10553,1,None/Apparently Normal
10553,2,None/Apparently Normal
10554,1,
10554,3,None/Apparently Normal
10555,1,
10556,1,
10556,2,
10557,1,
10558,1,None/Apparently Normal
10559,1,"Under the Influence of Alcohol, Drugs or Medication"
10559,2,None/Apparently Normal
10560,1,None/Apparently Normal
10560,2,None/Apparently Normal
10561,1,None/Apparently Normal
10561,2,None/Apparently Normal
10562,1,"Under the Influence of Alcohol, Drugs or Medication"
10563,1,None/Apparently Normal
10564,1,
10564,2,None/Apparently Normal
10565,1,
10566,1,
10566,2,None/Apparently Normal
10567,1,
10567,2,None/Apparently Normal
10567,3,None/Apparently Normal
10568,1,None/Apparently Normal
10568,2,None/Apparently Normal
10569,1,"Under the Influence of Alcohol, Drugs or Medication"
10570,1,None/Apparently Normal
10570,2,None/Apparently Normal
10570,3,None/Apparently Normal
10571,1,"Under the Influence of Alcohol, Drugs or Medication"
10571,2,None/Apparently Normal
10572,1,"Under the Influence of Alcohol, Drugs or Medication"
10572,2,
10573,1,None/Apparently Normal
10574,1,
10574,2,None/Apparently Normal
10575,1,
10576,1,
10577,1,
10577,2,None/Apparently Normal
10578,1,
10579,1,
10579,2,None/Apparently Normal
10580,1,"Under the Influence of Alcohol, Drugs or Medication"
10581,1,
10582,1,
10582,2,None/Apparently Normal
10582,3,None/Apparently Normal
10583,1,
10583,2,
10584,1,
10584,2,
10585,1,None/Apparently Normal
10586,1,None/Apparently Normal
10587,1,None/Apparently Normal
10587,2,None/Apparently Normal
10588,1,None/Apparently Normal
10589,1,
10589,2,
10590,1,None/Apparently Normal
10590,2,None/Apparently Normal
10590,3,None/Apparently Normal
10590,4,None/Apparently Normal
10591,1,None/Apparently Normal
10592,1,
10592,2,
10592,3,None/Apparently Normal
10593,1,"Under the Influence of Alcohol, Drugs or Medication"
10593,2,
10594,1,None/Apparently Normal
10594,2,
10595,1,None/Apparently Normal
10595,2,None/Apparently Normal
10596,1,
10597,1,"Under the Influence of Alcohol, Drugs or Medication"
10598,1,
10599,1,Asleep or Fatigued
10600,1,None/Apparently Normal
10601,1,None/Apparently Normal
10601,2,None/Apparently Normal
10602,1,Asleep or Fatigued
10602,2,None/Apparently Normal
10603,1,None/Apparently Normal
10603,2,None/Apparently Normal
10604,1,None/Apparently Normal
10604,2,None/Apparently Normal
10604,3,None/Apparently Normal
10605,1,None/Apparently Normal
10605,2,
10605,3,None/Apparently Normal
10606,1,
10607,1,
10608,1,"Under the Influence of Alcohol, Drugs or Medication"
10608,2,None/Apparently Normal
10609,1,None/Apparently Normal
10610,1,None/Apparently Normal
10611,1,
10612,1,None/Apparently Normal
10612,2,None/Apparently Normal
10613,1,
10613,2,None/Apparently Normal
10614,1,Asleep or Fatigued
10615,1,"Under the Influence of Alcohol, Drugs or Medication"
10616,1,None/Apparently Normal
10616,2,None/Apparently Normal
10617,1,
10618,1,None/Apparently Normal
10619,1,None/Apparently Normal
10619,2,None/Apparently Normal
10620,1,
10620,2,None/Apparently Normal
10621,1,None/Apparently Normal
10622,1,"Emotional (depressed, angry, disturbed, etc.)"
10623,1,
10624,1,
10625,1,
10625,2,None/Apparently Normal
10626,1,None/Apparently Normal
10627,1,None/Apparently Normal
10627,2,None/Apparently Normal
10628,1,
10628,2,
10629,1,
10630,1,Asleep or Fatigued
10631,1,None/Apparently Normal
10632,1,Physical Impairment - No Details
10633,1,"Under the Influence of Alcohol, Drugs or Medication"
10634,1,None/Apparently Normal
10634,2,
10635,1,None/Apparently Normal
10635,2,None/Apparently Normal
10636,1,
10637,1,"Under the Influence of Alcohol, Drugs or Medication"
10638,1,
10638,2,None/Apparently Normal
10638,3,None/Apparently Normal
10639,1,
10640,1,
10640,2,None/Apparently Normal
10641,1,
10641,2,"Under the Influence of Alcohol, Drugs or Medication"
10641,3,
10641,4,
10642,1,
10643,1,None/Apparently Normal
10644,1,
10645,1,None/Apparently Normal
10646,1,None/Apparently Normal
10647,1,None/Apparently Normal
10648,1,
10648,2,None/Apparently Normal
10649,1,
10650,1,None/Apparently Normal
10650,2,None/Apparently Normal
10650,3,None/Apparently Normal
10651,1,
10651,2,None/Apparently Normal
10652,1,
10653,1,
10653,2,None/Apparently Normal
10654,1,
10655,1,None/Apparently Normal
10655,2,None/Apparently Normal
10656,1,
10657,1,None/Apparently Normal
10657,2,None/Apparently Normal
10658,1,
10659,1,"Under the Influence of Alcohol, Drugs or Medication"
10660,1,None/Apparently Normal
10661,1,
10662,1,
10662,2,
10663,1,
10664,1,
10664,2,None/Apparently Normal
10665,1,None/Apparently Normal
10665,2,None/Apparently Normal
10666,1,None/Apparently Normal
10666,2,None/Apparently Normal
10666,3,None/Apparently Normal
10666,4,None/Apparently Normal
10667,1,"Ill, Blackout"
10668,1,None/Apparently Normal
10669,1,None/Apparently Normal
10670,1,
10670,2,
10671,1,
10671,2,None/Apparently Normal
10672,1,
10672,2,None/Apparently Normal
10672,3,None/Apparently Normal
10673,1,
10674,1,None/Apparently Normal
10675,1,None/Apparently Normal
10676,1,
10676,2,None/Apparently Normal
10677,1,None/Apparently Normal
10677,2,
10678,1,None/Apparently Normal
10678,2,None/Apparently Normal
10679,1,
10680,1,"Under the Influence of Alcohol, Drugs or Medication"
10681,1,"Ill, Blackout"
10682,1,
10683,1,
10683,2,None/Apparently Normal
10683,3,None/Apparently Normal
10684,1,
10684,2,None/Apparently Normal
10685,1,None/Apparently Normal
