ST_CASE,VEH_NO,VIOLATION
10374,4,None
10375,1,None
10376,1,None
10376,2,None
10376,3,None
10377,1,None
10377,2,None
10377,3,None
10378,1,None
10379,1,None
10379,2,None
10380,1,None
10381,1,None
10382,1,None
10382,2,None
10383,1,None
10384,1,None
10385,1,None
10386,1,None
10386,2,None
10386,3,None
10387,1,None
10388,1,None
10389,1,None
10390,1,None
10391,1,None
10392,1,None
10393,1,None
10393,2,None
10393,3,None
10394,1,None
10395,1,None
10396,1,None
10397,1,None
10398,1,None
10398,2,None
10399,1,None
10399,2,None
10400,1,None
10401,1,None
10402,1,None
10403,1,None
10404,1,None
10404,2,None
10405,1,None
10406,1,None
10407,1,None
10407,2,None
10408,1,None
10408,2,None
10408,3,None
10410,1,None
10412,1,None
10413,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
10414,1,None
10415,1,None
10416,1,None
10416,2,None
10417,1,None
10418,1,None
10419,1,None
10420,1,None
10420,2,None
10421,1,None
10422,1,None
10422,2,None
10422,3,None
10423,1,"Hit-and-run, fail to stop after crash"
10424,1,None
10424,2,None
10425,1,None
10426,1,None
10426,2,None
10427,1,None
10428,1,None
10429,1,None
10429,2,None
10429,3,None
10429,4,None
10430,1,None
10430,2,None
10431,1,None
10431,2,None
10432,1,None
10432,2,None
10433,1,None
10433,2,None
10434,1,None
10435,1,None
10435,2,None
10436,1,None
10436,2,None
10436,3,None
10437,1,None
10438,1,None
10438,2,None
10438,3,None
10439,1,None
10440,1,None
10441,1,None
10442,1,None
10442,2,None
10443,1,None
10444,1,None
10445,1,None
10446,1,None
10447,1,None
10447,2,None
10448,1,None
10449,1,None
10449,2,None
10450,1,None
10451,1,None
10451,2,None
10452,1,None
10453,1,"Hit-and-run, fail to stop after crash"
10454,1,None
10455,1,None
10456,1,None
10457,1,None
10457,2,None
10458,1,None
10458,2,None
10459,1,None
10460,1,None
10460,2,None
10461,1,None
10462,1,None
10462,2,None
10463,1,None
10464,1,None
10465,1,None
10466,1,None
10467,1,None
10467,2,None
10467,3,None
10468,1,None
10469,1,None
10470,1,None
10471,1,None
10471,2,None
10472,1,None
10473,1,None
10473,2,None
10474,1,None
10475,1,None
10476,1,None
10477,1,None
10478,1,None
10478,2,None
10479,1,None
10480,1,None
10481,1,None
10481,2,None
10481,3,None
10482,1,None
10482,2,None
10482,3,None
10482,4,None
10483,1,None
10483,2,None
10484,1,None
10485,1,None
10486,1,None
10487,1,None
10487,2,None
10488,1,None
10489,1,None
10489,2,None
10490,1,Manslaughter or homicide
10490,1,Fleeing or eluding police
10490,2,None
10490,3,None
10490,4,None
10490,5,None
10491,1,None
10492,1,None
10492,2,None
10493,1,None
10494,1,None
10495,1,None
10496,1,None
10496,2,None
10497,1,None
10497,2,None
10498,1,None
10498,2,None
10498,3,None
10499,1,None
10500,1,None
10500,2,None
10501,1,None
10502,1,None
10502,2,None
10502,3,None
10503,1,None
10504,1,None
10505,1,None
10506,1,None
10507,1,None
10508,1,None
10509,1,None
10510,1,None
10511,1,None
10512,1,None
10513,1,None
10513,2,None
10514,1,None
10515,1,None
10516,1,None
10517,1,Other driver license violations
10518,1,None
10519,1,None
10521,1,None
10521,2,None
10522,1,None
10522,2,None
10523,1,None
10524,1,None
10524,2,None
10525,1,None
10525,2,None
10526,1,None
10526,2,None
10527,1,None
10527,2,None
10528,1,None
10529,1,None
10530,1,None
10530,2,None
10531,1,None
10531,2,None
10532,1,None
10532,2,None
10532,3,None
10533,1,None
10533,2,None
10534,1,None
10534,2,None
10535,1,None
10536,1,None
10536,2,None
10536,3,None
10537,1,None
10537,2,
10538,1,None
10538,2,None
10539,1,None
10540,1,None
10541,1,None
10542,1,None
10543,1,None
10544,1,None
10545,1,None
10546,1,None
10547,1,None
10548,1,None
10549,1,None
10550,1,None
10551,1,None
10552,1,None
10552,2,None
10553,1,None
10553,2,Fail to carry insurance card
10554,1,
10554,3,None
10555,1,None
10556,1,None
10556,2,None
10557,1,None
10558,1,None
10559,1,None
10559,2,None
10560,1,None
10560,2,None
10561,1,None
10561,2,None
10562,1,None
10563,1,None
10564,1,None
10564,2,None
10565,1,None
10566,1,None
10566,2,None
10567,1,None
10567,2,None
10567,3,None
10568,1,None
10568,2,None
10569,1,None
10570,1,None
10570,2,None
10570,3,None
10571,1,None
10571,2,None
10572,1,None
10572,2,None
10573,1,None
10574,1,None
10574,2,None
10575,1,None
10576,1,None
10577,1,None
10577,2,None
10578,1,None
10579,1,
10579,2,None
10580,1,None
10581,1,None
10582,1,None
10582,2,None
10582,3,None
10583,1,None
10583,2,None
10584,1,None
10584,2,None
10585,1,Other driver license violations
10586,1,None
10587,1,None
10587,2,None
10588,1,None
10589,1,None
10589,2,None
10590,1,None
10590,2,None
10590,3,None
10590,4,None
10591,1,None
10592,1,None
10592,2,None
10592,3,None
10593,1,None
10593,2,None
10594,1,None
10594,2,None
10595,1,None
10595,2,None
10596,1,None
10597,1,None
10598,1,None
10599,1,None
10600,1,None
10601,1,None
10601,2,None
10602,1,None
10602,2,None
10603,1,None
10603,2,None
10604,1,None
10604,2,None
10604,3,None
10605,1,Other driver license violations
10605,2,None
10605,3,None
10606,1,None
10607,1,None
10608,1,None
10608,2,None
10609,1,None
10610,1,None
10611,1,None
10612,1,None
10612,2,None
10613,1,None
10613,2,None
10614,1,None
10615,1,None
10616,1,None
10616,2,None
10617,1,None
10618,1,None
10619,1,None
10619,2,None
10620,1,None
10620,2,None
10621,1,None
10622,1,None
10623,1,None
10624,1,None
10625,1,None
10625,2,None
10626,1,None
10627,1,None
10627,2,None
10628,1,None
10628,2,None
10629,1,None
10630,1,None
10631,1,None
10632,1,None
10633,1,None
10634,1,None
10634,2,None
10635,1,None
10635,2,None
10636,1,None
10637,1,None
10638,1,None
10638,2,None
10638,3,None
10639,1,None
10640,1,None
10640,2,None
10641,1,None
10641,2,None
10641,3,None
10641,4,None
10642,1,None
10643,1,None
10644,1,None
10645,1,None
10646,1,None
10647,1,None
10648,1,None
10648,2,None
10649,1,None
10650,1,None
10650,2,None
10650,3,None
10651,1,None
10651,2,None
10652,1,None
10653,1,None
10653,2,None
10654,1,None
10655,1,None
10655,2,None
10656,1,None
10657,1,None
10657,2,None
10658,1,None
10659,1,None
10660,1,None
10661,1,None
10662,1,None
10662,2,None
10663,1,None
10664,1,None
10664,2,None
10665,1,None
10665,2,None
10666,1,None
10666,2,None
10666,3,None
10666,4,None
10667,1,None
10668,1,None
10669,1,None
10670,1,None
10670,2,None
10671,1,None
10671,2,None
10672,1,None
10672,2,None
10672,3,None
10673,1,None
10674,1,None
10675,1,None
10676,1,None
10676,2,None
10677,1,None
10677,2,None
10678,1,None
10678,2,None
10679,1,None
10680,1,None
10681,1,None
10682,1,None
10683,1,None
10683,2,None
10683,3,None
10684,1,None
10684,2,None
10685,1,None
10685,2,None
10685,3,None
10685,4,None
10685,5,None
10685,6,None
10686,1,None
10686,2,None
10687,1,None
10688,1,None
10689,1,None
10690,1,None
10691,1,None
10692,1,None
10693,1,None
10693,2,None
10694,1,None
10694,2,None
10695,1,None
10696,1,None
10697,1,None
10698,1,None
10699,1,None
10699,2,None
10700,1,None
10702,1,None
10703,1,None
10704,1,None
10704,2,None
10705,1,None
10706,1,None
10706,2,None
10707,1,None
10707,2,None
10708,1,None
10708,2,None
10709,1,None
10709,2,None
10709,3,None
10710,1,None
10711,1,None
10712,1,None
10713,1,None
10714,1,None
10715,1,None
10715,2,None
10716,1,None
10717,1,None
10717,2,None
10718,1,None
10718,2,None
10719,1,None
10719,2,None
10720,1,None
10721,1,None
10722,1,None
10723,1,None
10724,1,None
10725,1,None
10726,1,None
10726,2,None
10727,1,None
10727,2,None
10728,1,None
10728,2,None
10728,3,None
10729,1,None
10729,2,None
10730,1,None
10730,2,None
10731,1,None
10731,2,None
10731,3,None
10732,1,None
10733,1,None
10734,1,None
10734,2,None
10735,1,None
10735,2,None
10736,1,None
10736,2,None
10737,1,None
10737,2,None
10737,3,None
10738,1,None
10739,1,None
10740,1,None
10741,1,None
10742,1,None
10743,1,None
10744,1,None
10744,2,None
10744,3,None
10745,1,None
10746,1,None
10746,2,None
10747,1,None
10748,1,None
10749,1,None
10749,2,None
10750,1,None
10750,2,None
10751,1,None
10751,2,None
10752,1,None
10752,2,None
10753,1,None
10754,1,None
10755,1,None
10755,2,None
10756,1,None
10757,1,None
10757,2,None
10758,1,None
10759,1,None
10759,2,None
10760,1,None
10760,2,None
10761,1,None
10761,2,None
10762,1,None
10762,2,None
10763,1,None
10764,1,None
10765,1,None
10766,1,None
10766,2,None
10767,1,None
10768,1,None
10769,1,None
10769,2,None
10770,1,None
10771,1,None
10772,1,None
10773,1,None
10773,2,None
10773,3,None
10774,1,None
10774,2,None
10775,1,None
10776,1,None
10777,1,None
10778,1,None
10778,2,None
10779,1,None
10780,1,None
10781,1,None
10782,1,None
10782,2,None
10783,1,None
10783,2,None
10784,1,None
10785,1,None
10786,1,None
10787,1,None
10787,2,None
10788,1,None
10788,2,None
10789,1,None
10789,2,None
10790,1,None
10791,1,None
10791,2,None
10792,1,None
10793,1,None
10794,1,None
10794,2,None
10794,3,None
10795,1,None
10795,2,None
10796,1,None
10796,2,None
10797,1,None
10798,1,None
10798,2,None
10799,1,None
10801,1,None
10802,1,None
10803,1,None
10804,1,None
10804,2,None
10805,1,None
10805,2,None
10806,1,None
10807,1,None
10808,1,None
10809,1,None
10810,1,None
10810,2,None
10811,1,None
10812,1,None
10812,2,None
10813,1,None
10814,1,None
10815,1,None
10815,2,None
10816,1,None
10816,2,None
10817,1,None
10818,1,None
10819,1,None
10819,2,None
10819,3,None
10820,1,Vehicle registration violations
10820,2,None
10821,1,None
10822,1,Driving while license withdrawn
10822,2,None
10823,1,None
10824,1,None
10824,2,None
10825,1,None
10825,2,None
10825,3,None
10826,1,None
10827,1,None
10827,2,None
10828,1,None
10829,1,None
10829,2,None
10830,1,None
10831,1,None
10831,2,None
10831,3,None
10831,4,None
10831,5,None
10831,6,None
10832,1,None
10833,1,None
10834,1,None
10835,1,None
10835,2,None
10836,1,None
10837,1,Manslaughter or homicide
10837,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
10837,2,None
10838,1,None
10839,1,None
10840,1,None
10840,2,None
10841,1,None
10841,2,None
10842,1,None
10843,1,None
10844,1,None
10844,2,None
10845,1,None
10846,1,None
10847,1,None
10847,2,None
10848,1,Other driver license violations
10849,1,None
10849,2,None
10850,1,
10851,1,None
10852,1,None
10852,2,None
10852,3,None
10853,1,None
10854,1,None
10855,1,None
10856,1,None
10856,2,None
10856,3,None
10857,1,None
10857,2,None
10858,1,None
10859,1,None
10860,1,None
10861,1,None
10861,2,None
10862,1,None
10863,1,None
10863,2,None
10864,1,None
10865,1,None
10866,1,
10866,2,None
10867,1,None
10867,2,None
10868,1,None
10868,2,None
10869,1,None
10870,1,None
10871,1,None
10871,2,None
10872,1,None
10872,2,None
10873,1,None
10873,2,None
10874,1,None
10874,2,None
10875,1,None
10875,2,None
10876,1,None
10876,2,None
10877,1,None
10877,2,None
10878,1,None
10879,1,None
10879,2,Driving under influence of substance not intended to intoxicate
10880,1,None
10880,2,None
10881,1,None
10882,1,None
10883,1,None
10883,2,None
10884,1,None
10885,1,None
10886,1,None
10887,1,None
10887,2,None
10888,1,None
10888,2,None
10889,1,None
10889,2,None
10890,1,None
10891,1,None
10892,1,None
10892,2,None
10893,1,None
10893,2,None
10894,1,None
10894,2,None
10895,1,None
10896,1,None
10897,1,None
10898,1,None
10899,1,None
10900,1,None
10901,1,None
10901,2,None
10901,3,None
10902,1,None
10903,1,None
10904,1,None
10905,1,None
10905,2,None
10906,1,None
10906,2,None
10907,1,None
10908,1,Driving under influence of substance not intended to intoxicate
10909,1,None
10910,1,"Hit-and-run, fail to stop after crash"
10910,2,None
10911,1,None
10911,2,None
10911,3,None
10912,1,None
10913,1,None
10913,2,None
10914,1,None
10914,2,Fail to carry insurance card
10915,1,None
10915,2,None
10916,1,None
10916,2,None
10917,1,None
10918,1,None
10918,2,None
10919,1,None
20001,1,None
20002,1,None
20002,2,Driving while license withdrawn
20003,1,None
20003,2,None
20004,1,None
20004,2,None
20005,1,
20005,2,None
20005,3,None
20006,1,None
20006,2,None
20007,1,None
20007,2,None
20008,1,None
20008,2,None
20009,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
20010,1,
20011,1,None
20012,1,None
20012,2,None
20013,1,None
20014,1,None
20015,1,None
20015,2,None
20015,3,None
20016,1,Manslaughter or homicide
20016,1,Serious violation resulting in death
20016,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
20017,1,None
20017,2,None
20018,1,None
20019,1,None
20019,2,None
20019,3,None
20019,4,None
20019,5,None
20020,1,None
20020,2,None
20021,1,None
20022,1,None
20023,1,None
20023,2,None
20024,1,Fail to carry insurance card
20025,1,
20025,2,None
20026,1,None
20026,2,None
20027,1,None
20028,1,None
20029,1,Manslaughter or homicide
20029,1,Fail to yield generally
20029,2,None
20030,1,None
20030,2,None
20031,1,None
20032,1,None
20032,2,None
20033,1,None
20034,1,None
20034,2,None
20034,3,None
20035,1,None
20036,1,None
20036,2,Fail to carry insurance card
20037,1,None
20038,1,None
20039,1,None
20040,1,Manslaughter or homicide
20040,2,None
20041,1,None
20042,1,None
20042,2,None
20043,1,None
20043,2,Manslaughter or homicide
20043,2,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
20043,3,None
20044,1,
20045,1,Willful reckless driving; driving to endanger; negligent driving
20045,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
20045,1,Non-moving violations generally
20046,1,None
20047,1,None
20047,2,None
20048,1,None
20048,2,None
20049,1,Fail to yield generally
20049,2,None
20052,1,None
20053,1,None
20054,1,None
20055,1,None
20056,1,None
20057,1,None
20057,2,None
20058,1,None
20059,1,None
20060,1,None
20061,1,None
20061,2,None
20062,1,None
20063,1,Fail to yield generally
20063,2,None
20064,1,"Hit-and-run, fail to stop after crash"
20064,1,"Fail to give aid, info., wait for police after crash"
20065,1,None
20065,2,None
20066,1,None
20066,2,None
20067,1,
20067,2,None
20068,1,None
20068,2,None
20069,1,None
20069,2,None
20070,1,None
20070,2,None
20071,1,Manslaughter or homicide
20071,1,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
20072,1,None
20072,2,None
20073,1,None
20073,2,None
20074,1,None
20075,1,Other driver license violations
20075,2,None
20076,1,Fail to carry insurance card
20077,1,Manslaughter or homicide
20077,1,Willful reckless driving; driving to endanger; negligent driving
20077,1,Driving while license withdrawn
20077,1,Non-moving violations generally
40001,1,None
40001,2,None
40001,3,None
40002,1,None
40003,1,None
40003,2,None
40004,1,None
40004,2,None
40005,1,"Fail to give aid, info., wait for police after crash"
40005,2,None
40005,3,None
40006,1,None
40006,2,None
40008,1,None
40008,2,None
40009,1,None
40010,1,None
40010,2,None
40010,3,None
40011,1,None
40011,2,None
40012,1,None
40013,1,None
40015,1,None
40015,2,None
40015,3,None
40016,1,None
40017,1,Vehicle registration violations
40017,2,None
40018,1,None
40019,1,
40019,2,None
40020,1,None
40020,2,None
40021,1,None
40022,1,None
40022,2,None
40023,1,"Hit-and-run, fail to stop after crash"
40024,1,Serious violation resulting in death
40024,2,None
40025,1,None
40026,1,None
40027,1,None
40027,2,None
40028,1,Serious violation resulting in death
40028,1,Fail to obey traffic control device
40028,2,None
40028,3,None
40029,1,None
40029,2,None
40030,1,None
40031,1,None
40032,1,None
40032,2,Manslaughter or homicide
40032,2,"Hit-and-run, fail to stop after crash"
40032,3,None
40032,4,None
40032,5,None
40032,6,None
40033,1,None
40033,2,None
40034,1,None
40035,1,None
40036,1,Speeding (above the speed limit)
40037,1,None
40038,1,None
40038,2,None
40039,1,None
40040,1,None
40041,1,None
40042,1,"Fail to give aid, info., wait for police after crash"
40043,1,None
40044,1,None
40045,1,None
40045,2,None
40046,1,None
40046,2,None
40047,1,Other driver license violations
40048,1,None
40048,2,None
40049,1,None
40049,2,None
40050,1,None
40051,1,None
40051,2,None
40052,1,None
40054,1,None
40054,2,None
40055,1,None
40055,2,None
40056,1,None
40057,1,None
40058,1,None
40060,1,None
40060,2,None
40061,1,None
40061,2,None
40062,1,None
40063,1,None
40064,1,None
40066,1,None
40067,1,None
40068,1,None
40069,1,None
40070,1,Enter intersection when space insufficient
40070,2,None
40071,1,None
40071,2,None
40073,1,None
40073,2,None
40074,1,None
40074,2,None
40075,1,None
40075,2,None
40076,1,None
40077,1,None
40077,2,None
40078,1,None
40080,1,Driving while impaired
40080,2,None
40080,3,None
40081,1,Manslaughter or homicide
40081,1,Driving while impaired
40081,2,None
40082,1,None
40082,2,None
40083,1,None
40084,1,None
40085,1,None
40086,1,None
40086,2,None
40087,1,None
40088,1,None
40088,2,None
40089,1,Driving while impaired
40089,2,None
40090,1,"Fail to give aid, info., wait for police after crash"
40090,1,Serious violation resulting in death
40090,1,Driving while impaired
40091,1,None
40092,1,None
40092,2,None
40093,1,None
40094,1,None
40095,1,None
40095,2,None
40096,1,Fleeing or eluding police
40096,1,"Hit-and-run, fail to stop after crash"
40096,1,Serious violation resulting in death
40097,1,None
40098,1,None
40098,2,None
40099,1,None
40099,2,None
40100,1,None
40101,1,Refusal to submit to chemical test
40101,2,None
40102,1,None
40103,1,None
40104,1,None
40105,1,None
40106,1,Manslaughter or homicide
40106,1,Serious violation resulting in death
40106,2,None
40107,1,None
40108,1,None
40108,2,None
40109,1,Serious violation resulting in death
40109,2,None
40110,1,None
40111,1,None
40112,1,None
40112,2,None
40113,1,None
40114,1,None
40114,2,None
40115,1,None
40116,1,None
40116,2,None
40117,1,None
40118,1,None
40118,2,None
40118,3,None
40119,1,None
40119,2,None
40119,3,None
40120,1,None
40121,1,None
40122,1,None
40122,2,None
40123,1,None
40124,1,None
40124,2,None
40125,1,None
40125,2,None
40126,1,None
40126,2,None
40127,1,None
40127,2,None
40128,1,None
40129,1,Fail to yield generally
40129,2,None
40130,1,None
40130,2,None
40131,1,Driving while impaired
40131,2,
40132,1,None
40133,1,None
40133,2,None
40134,1,None
40134,2,None
40135,1,None
40136,1,None
40137,1,None
40138,1,None
40139,1,None
40139,2,None
40140,1,None
40141,1,None
40142,1,None
40143,1,None
40143,2,None
40143,3,None
40144,1,None
40144,2,
40145,1,Serious violation resulting in death
40145,1,Fail to yield generally
40146,1,Manslaughter or homicide
40147,1,None
40147,2,None
40148,1,None
40148,2,None
40149,1,None
40150,1,None
40151,1,None
40152,1,Driving while impaired
40152,1,"Alcohol, drug, or impairment violations generally"
40152,1,Other driver license violations
40153,1,None
40154,1,None
40154,2,None
40155,1,None
40156,1,None
40157,1,None
40158,1,None
40158,2,None
40158,3,None
40159,1,None
40160,1,None
40160,2,None
40161,1,None
40162,1,Serious violation resulting in death
40163,1,Manslaughter or homicide
40164,1,None
40164,2,None
40165,1,None
40166,1,None
40166,2,None
40166,3,None
40166,4,None
40167,1,Manslaughter or homicide
40167,2,None
40168,1,None
40168,2,None
40169,1,None
40169,2,None
40169,3,None
40170,1,"Improper method & position of turn (too wide, wrong lane)"
40170,2,None
40171,1,None
40171,2,None
40172,1,None
40172,2,None
40173,1,None
40173,2,None
40174,1,None
